session_id,year,event_name,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_family_count,non_ok_pct,car_related_pct_of_non_ok,location_related_pct_of_non_ok
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,1119107,31300,15265,2447,11119,2469,0,17712,13925,4,2.796872863810163,56.587859424920126,44.4888178913738
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,1134521,27436,12300,2720,10387,2029,0,15020,12456,4,2.418289304472989,54.74558973611313,45.4002041113865
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,1035545,24193,9390,2480,10043,2280,0,11870,12603,4,2.3362577193651655,49.06377877898566,52.09358078783119
2025-british-grand-prix-r,2025,British Grand Prix,943107,23768,9997,2286,9538,1947,0,12283,11577,4,2.5201806369796853,51.67872770111074,48.708347357791986
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,1131575,23043,14257,3182,4766,838,0,17439,15049,4,2.0363652431345693,75.68024996745216,65.30833658811787
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,821801,22295,10525,1861,8474,1435,0,12386,10025,4,2.712943887875532,55.55505718771025,44.96523884278986
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,1059385,20890,14466,2519,2733,1172,0,16985,12640,4,1.9718987903359024,81.30684538056487,60.50741981809479
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,1069986,19435,11612,2669,4051,1103,0,14281,14056,4,1.8163789058922266,73.48083354772318,72.32312837664008
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,1043228,19164,10712,2340,5390,722,0,13052,14016,4,1.8369905715720822,68.1068670423711,73.13713212273012
2025-united-states-grand-prix-r,2025,United States Grand Prix,1086678,18645,12224,2136,2891,1394,0,14360,10434,4,1.715779651377869,77.01796728345401,55.961383748994365
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,1049027,17757,10935,1934,3857,1031,0,12869,12375,4,1.6927114364072613,72.47282761727769,69.6908261530664
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,1211554,17563,11821,2321,2482,939,0,14142,10882,4,1.4496258524176389,80.52155098787223,61.95980185617491
2025-miami-grand-prix-r,2025,Miami Grand Prix,955079,17542,10514,2052,4269,707,0,12566,11905,4,1.8367067017492793,71.6337931820773,67.86569376353894
2025-australian-grand-prix-r,2025,Australian Grand Prix,999583,17426,11226,2251,2917,1032,0,13477,11282,4,1.7433269673453828,77.33845977275335,64.74233903362791
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,1055536,17167,10796,2075,3447,849,0,12871,10718,4,1.6263774992041957,74.97524319916118,62.4337391506961
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,964250,17152,9667,2469,3904,1112,0,12136,11971,4,1.7787918071039668,70.75559701492537,69.79361007462687
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,1144940,16840,9233,2667,4051,889,0,11900,12043,4,1.4708194315859346,70.66508313539192,71.51425178147268
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,1074586,16389,9405,2384,3782,818,0,11789,10752,4,1.5251454978940726,71.93239367868692,65.60497894929526
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,994294,15746,9843,2257,2672,974,0,12100,11161,4,1.5836362283187868,76.84491299377619,70.88149371268894
2025-italian-grand-prix-r,2025,Italian Grand Prix,820417,15478,9731,1816,3492,439,0,11547,10603,4,1.8866015696895604,74.60266184261532,68.50368264633674
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,983789,15333,9769,1879,2782,903,0,11648,10876,4,1.5585659119994226,75.96686884497488,70.93197678210396
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,885764,14579,9251,1741,2953,634,0,10992,10432,4,1.6459237449252848,75.3961177035462,71.5549763358255
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,874472,14512,9140,1776,2565,1031,0,10916,9904,4,1.6595156848932842,75.2205071664829,68.24696802646086
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,1019335,14505,10062,1689,1995,759,0,11751,9577,4,1.4229865549598513,81.0134436401241,66.02550844536367
