session_id,year,event_name,bin_start_ms,driver_windows,degraded_driver_windows,severe_driver_windows,max_non_ok_pct,race_control_messages,incident_messages,safety_car_messages,vsc_messages,penalty_messages,rainfall_transitions,has_yellow,has_safety_car,has_red_flag,has_vsc,has_status_context,has_context_event,degraded_window_rate
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,3300000,80,20,0,7.000000000000001,3,3,0,0,1,0,False,False,False,False,False,True,25.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,3600000,200,80,0,4.333333333333334,1,1,0,0,1,0,False,False,False,False,False,True,40.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,3900000,200,60,0,4.666666666666667,3,0,0,0,0,0,False,False,False,False,False,False,30.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,4200000,200,60,0,4.333333333333334,7,3,0,0,1,0,False,False,False,False,False,True,30.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,4500000,200,100,0,4.333333333333334,1,0,0,0,0,0,False,False,False,False,False,False,50.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,4800000,200,80,0,4.666666666666667,3,1,0,0,0,0,False,False,False,False,False,True,40.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,5100000,200,160,0,8.333333333333332,12,11,0,0,0,0,False,False,False,False,False,True,80.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,5400000,200,60,0,3.6666666666666665,5,4,0,0,1,0,False,False,False,False,False,True,30.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,5700000,200,100,0,8.0,2,2,0,0,1,0,False,False,False,False,False,True,50.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,6000000,200,60,0,4.0,0,0,0,0,0,0,False,False,False,False,False,False,30.0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,6300000,200,120,0,7.333333333333333,0,0,0,0,0,0,False,False,False,False,False,False,60.0
