session_id,event_name,normalized_message,messages,first_session_time_ms,last_session_time_ms,taxonomy,example_message,span_ms
2025-belgian-grand-prix-r,Belgian Grand Prix,clear in track sector #,39,3376000.0,10186000.0,flags,CLEAR IN TRACK SECTOR 4,6810000.0
2025-british-grand-prix-r,British Grand Prix,clear in track sector #,37,279000.0,5474000.0,flags,CLEAR IN TRACK SECTOR 5,5195000.0
2025-british-grand-prix-r,British Grand Prix,yellow in track sector #,32,263000.0,5291000.0,flags,YELLOW IN TRACK SECTOR 5,5028000.0
2025-belgian-grand-prix-r,Belgian Grand Prix,double yellow in track sector #,22,3346000.0,10139000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 4,6793000.0
2025-australian-grand-prix-r,Australian Grand Prix,clear in track sector #,20,317000.0,6420000.0,flags,CLEAR IN TRACK SECTOR 2,6103000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,waved blue flag for car # (hul) timed at #:#:#,18,2423000.0,5295000.0,flags,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:40:23,2872000.0
2025-dutch-grand-prix-r,Dutch Grand Prix,double yellow in track sector #,18,1907000.0,6810000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 5,4903000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,waved blue flag for car # (bea) timed at #:#:#,15,2276000.0,5611000.0,flags,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:37:55,3335000.0
2025-azerbaijan-grand-prix-r,Azerbaijan Grand Prix,clear in track sector #,14,636000.0,6175000.0,flags,CLEAR IN TRACK SECTOR 6,5539000.0
2025-azerbaijan-grand-prix-r,Azerbaijan Grand Prix,double yellow in track sector #,14,293000.0,6153000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 7,5860000.0
2025-australian-grand-prix-r,Australian Grand Prix,double yellow in track sector #,14,59000.0,6060000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 2,6001000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,waved blue flag for car # (str) timed at #:#:#,13,2331000.0,4493000.0,flags,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:38:50,2162000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,waved blue flag for car # (bor) timed at #:#:#,13,2440000.0,5373000.0,flags,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 15:40:39,2933000.0
2025-miami-grand-prix-r,Miami Grand Prix,clear in track sector #,12,244000.0,532000.0,flags,CLEAR IN TRACK SECTOR 2,288000.0
2025-miami-grand-prix-r,Miami Grand Prix,double yellow in track sector #,12,236000.0,531000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 2,295000.0
2025-british-grand-prix-r,British Grand Prix,double yellow in track sector #,12,312000.0,2525000.0,flags,DOUBLE YELLOW IN TRACK SECTOR 6,2213000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,waved blue flag for car # (tsu) timed at #:#:#,12,2600000.0,5698000.0,flags,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:43:19,3098000.0
2025-monaco-grand-prix-r,Monaco Grand Prix,waved blue flag for car # (col) timed at #:#:#,12,2383000.0,5544000.0,flags,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:39:42,3161000.0
2025-dutch-grand-prix-r,Dutch Grand Prix,clear in track sector #,12,1237000.0,6549000.0,flags,CLEAR IN TRACK SECTOR 15,5312000.0
2025-belgian-grand-prix-r,Belgian Grand Prix,track surface slippery in track sector #,12,,,other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,
2025-canadian-grand-prix-r,Canadian Grand Prix,waved blue flag for car # (law) timed at #:#:#,11,3188000.0,4271000.0,flags,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 14:53:07,1083000.0
2025-singapore-grand-prix-r,Singapore Grand Prix,waved blue flag for car # (oco) timed at #:#:#,11,4459000.0,5545000.0,flags,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 21:14:18,1086000.0
