race_control_message_id,session_id,year,event_name,message_time_utc,session_time_ms,category,message,status,flag,scope,sector,racing_number,driver_code,lap_number,taxonomy,normalized_message,missing_session_time,missing_lap_scope,missing_driver_scope,is_driver_scoped,is_lap_scoped
3106,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:00:59+00:00,59000.0,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,,1,flags,double yellow in track sector #,False,False,True,False,True
3107,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:02:17+00:00,137000.0,Other,ABORTED START,,,,,,,1,other,aborted start,False,False,True,False,True
3108,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:04:15+00:00,255000.0,Other,FORMATION LAP WILL START AT 15:15,,,,,,,1,other,formation lap will start at #:#,False,False,True,False,True
3109,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:05:17+00:00,317000.0,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,,1,flags,clear in track sector #,False,False,True,False,True
3110,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:18:23+00:00,1103000.0,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,,1,pit_entry_exit,green light - pit exit open,False,False,True,False,True
3111,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:19:27+00:00,1167000.0,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,,1,flags,double yellow in track sector #,False,False,True,False,True
3112,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:19:31+00:00,1171000.0,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,,1,safety_car,safety car deployed,False,False,True,False,True
3113,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:20:18+00:00,1218000.0,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,,1,flags,double yellow in track sector #,False,False,True,False,True
3114,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:20:58+00:00,1258000.0,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,,2,flags,double yellow in track sector #,False,False,True,False,True
3115,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:21:22+00:00,1282000.0,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,,2,safety_car,safety car through the pit lane,False,False,True,False,True
3116,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:24:24+00:00,1464000.0,Other,RECOVERY VEHICLE ON TRACK AT TURN 14,,,,,,,3,other,recovery vehicle on track at turn #,False,False,True,False,True
3117,2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:26:13+00:00,1573000.0,Other,RECOVERY VEHICLE ON TRACK BEFORE TURN 6,,,,,,,4,other,recovery vehicle on track before turn #,False,False,True,False,True
