session_id,year,event_name,session_start_utc,session_end_utc,telemetry_samples,telemetry_start_ms,telemetry_end_ms,position_samples,position_start_ms,position_end_ms,aligned_samples,aligned_start_ms,aligned_end_ms,weather_samples,weather_start_ms,weather_end_ms,track_status_events,track_status_start_ms,track_status_end_ms,session_status_events,session_status_start_ms,session_status_end_ms,session_status_finished_ms,race_control_messages,race_control_start_ms,race_control_end_ms,derived_session_duration_ms,active_replay_start_ms,active_replay_end_ms,active_replay_duration_ms,session_end_missing_known_limitation,duration_source,finished_to_derived_end_gap_ms,telemetry_span_ms,telemetry_coverage_ratio,telemetry_active_overlap_ms,telemetry_active_coverage_ratio,telemetry_starts_after_active_ms,telemetry_ends_before_active_end_ms,position_span_ms,position_coverage_ratio,position_active_overlap_ms,position_active_coverage_ratio,position_starts_after_active_ms,position_ends_before_active_end_ms,aligned_span_ms,aligned_coverage_ratio,aligned_active_overlap_ms,aligned_active_coverage_ratio,aligned_starts_after_active_ms,aligned_ends_before_active_end_ms,weather_span_ms,weather_coverage_ratio,weather_active_overlap_ms,weather_active_coverage_ratio,weather_starts_after_active_ms,weather_ends_before_active_end_ms,track_status_span_ms,track_status_coverage_ratio,track_status_active_overlap_ms,track_status_active_coverage_ratio,track_status_starts_after_active_ms,track_status_ends_before_active_end_ms,session_status_span_ms,session_status_coverage_ratio,session_status_active_overlap_ms,session_status_active_coverage_ratio,session_status_starts_after_active_ms,session_status_ends_before_active_end_ms,race_control_span_ms,race_control_coverage_ratio,race_control_active_overlap_ms,race_control_active_coverage_ratio,race_control_starts_after_active_ms,race_control_ends_before_active_end_ms
2025-australian-grand-prix-r,2025,Australian Grand Prix,2025-03-16 04:00:00+00:00,,372477,4260474,10427029,380930,1103168,7269728,999583,4260581,10426981,178,7776,10629022,20,24491,9835069,5,6890,10632748,10632748,113,59000,7229000,10632748,4260581,10426981,6166400,True,session_status_finished,0,6166555,0.5799587275086365,6166400,1.0,-107,-48,6166560,0.5799591977539579,3009147,0.48799088609237157,-3157413,3157253,6166400,0.5799441499036749,6166400,1.0,0,0,10621246,0.9989182476627867,6166400,1.0,-4252805,-202041,9810578,0.9226756808305812,5574488,0.9040101193565128,-4236090,591912,10625858,0.9993520019471919,6166400,1.0,-4253691,-205767,7170000,0.6743317908032805,2968419,0.48138605993772704,-4201581,3197981
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,2025-03-23 07:00:00+00:00,,392448,3543023,9079082,398411,218869,5755072,1049027,3543065,9079065,154,44889,9225673,14,0,4113507,5,6203,9243467,9243467,56,219000,5676000,9243467,3543065,9079065,5536000,True,session_status_finished,0,5536059,0.598915861332117,5536000,1.0,-42,-17,5536203,0.5989314399023656,2212007,0.3995677384393064,-3324196,3323993,5536000,0.5989094784456958,5536000,1.0,0,0,9180784,0.993218670007693,5536000,1.0,-3498176,-146608,4113507,0.4450177622746963,570442,0.10304226878612717,-3543065,4965558,9237264,0.999328931449639,5536000,1.0,-3536862,-164402,5457000,0.5903629017120957,2132935,0.3852845014450867,-3324065,3403065
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,2025-04-06 05:00:00+00:00,,371291,3366774,8377712,379525,227385,5238158,994294,3366970,8377670,140,25703,8366377,1,0,0,5,7187,8495802,8495802,23,227000,5356000,8495802,3366970,8377670,5010700,True,session_status_finished,0,5010938,0.5898134160847911,5010700,1.0,-196,-42,5010773,0.5897939947282199,1871188,0.37343844173468776,-3139585,3139512,5010700,0.589785402249252,5010700,1.0,0,0,8340674,0.9817406290777492,4999407,0.9977462230826032,-3341267,11293,0,0.0,0,0.0,-3366970,8377670,8488615,0.9991540527898367,5010700,1.0,-3359783,-118132,5129000,0.6037099263848192,1989030,0.3969565130620472,-3139970,3021670
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,2025-04-13 15:00:00+00:00,,425177,3334930,9141350,436990,229176,6035398,1144940,3334933,9141033,158,14542,9435360,3,0,6940811,5,6398,9913997,9913997,91,229000,6808000,9913997,3334933,9141033,5806100,True,session_status_finished,0,5806420,0.5856790152347232,5806100,1.0,-3,-317,5806222,0.5856590434715685,2700465,0.4651082482216979,-3105757,3105635,5806100,0.5856467376377056,5806100,1.0,0,0,9420818,0.9502542718138809,5806100,1.0,-3320391,-294327,6940811,0.700102188854808,3605878,0.621049930245776,-3334933,2200222,9907599,0.9993546497946287,5806100,1.0,-3328535,-772964,6579000,0.6636072211843518,3473067,0.598175539518782,-3105933,2333033
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,2025-04-20 17:00:00+00:00,,333314,3417333,8383430,336779,235532,5202073,885764,3417386,8383386,142,2318,8462614,4,8569,3847987,5,9802,8490361,8490361,65,235000,5102000,8490361,3417386,8383386,4966000,True,session_status_finished,0,4966097,0.5849099938153396,4966000,1.0,-53,-44,4966541,0.5849622884115293,1784687,0.359381192106323,-3181854,3181313,4966000,0.5848985690950008,4966000,1.0,0,0,8460296,0.9964589255980988,4966000,1.0,-3415068,-79228,3839418,0.45220904034586984,430601,0.08670982682239227,-3408817,4535399,8480559,0.9988455143426763,4966000,1.0,-3407584,-106975,4867000,0.5732382875121564,1684614,0.3392295610149013,-3182386,3281386
2025-miami-grand-prix-r,2025,Miami Grand Prix,2025-05-04 20:00:00+00:00,,356089,3435438,8857537,362855,222298,5644264,955079,3435459,8857359,149,17964,8898989,22,0,6616929,5,10292,8957990,8957990,77,222000,5690000,8957990,3435459,8857359,5421900,True,session_status_finished,0,5422099,0.6052807605277524,5421900,1.0,-21,-178,5421966,0.6052659134471015,2208805,0.4073857872701451,-3213161,3213095,5421900,0.6052585457228686,5421900,1.0,0,0,8881025,0.9914082288549105,5421900,1.0,-3417495,-41630,6616929,0.7386622445436979,3181470,0.5867813865987938,-3435459,2240430,8947698,0.9988510815484277,5421900,1.0,-3425167,-100631,5468000,0.61040478946728,2254541,0.4158212065880964,-3213459,3167359
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,2025-05-18 13:00:00+00:00,,393149,3359317,8891096,400409,213300,5745002,1055536,3359385,8891085,150,34663,8975262,8,0,8048275,5,7013,9001103,9001103,44,213000,5811000,9001103,3359385,8891085,5531700,True,session_status_finished,0,5531779,0.6145667925364258,5531700,1.0,-68,-11,5531702,0.6145582380292727,2385617,0.4312629029050744,-3146085,3146083,5531700,0.6145580158342816,5531700,1.0,0,0,8940599,0.9932781571325203,5531700,1.0,-3324722,-84177,8048275,0.8941431955616995,4688890,0.8476399660140644,-3359385,842810,8994090,0.9992208732640877,5531700,1.0,-3352372,-110018,5598000,0.6219237797856552,2451615,0.4431937740658387,-3146385,3080085
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,2025-05-25 13:00:00+00:00,,420152,3368866,9474649,429303,189235,6295058,1131575,3368914,9474614,160,18586,9559327,12,0,6361311,5,6127,9560014,9560014,196,189000,6353000,9560014,3368914,9474614,6105700,True,session_status_finished,0,6105783,0.6386792948211164,6105700,1.0,-48,-35,6105823,0.6386834789154074,2926144,0.47924791588188087,-3179679,3179556,6105700,0.6386706128254623,6105700,1.0,0,0,9540741,0.9979839987682027,6105700,1.0,-3350328,-84713,6361311,0.6654081259713637,2992397,0.4900989239563031,-3368914,3113303,9553887,0.9993591013569645,6105700,1.0,-3362787,-85400,6164000,0.6447689302547046,2984086,0.4887377368688275,-3179914,3121614
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,2025-06-01 13:00:00+00:00,,378908,3553469,9163049,388975,197905,5807389,1019335,3553802,9163002,155,17775,9258428,11,0,8657036,5,12231,9494399,9494399,100,198000,6138000,9494399,3553802,9163002,5609200,True,session_status_finished,0,5609580,0.5908304464558526,5609200,1.0,-333,-47,5609484,0.5908203352313296,2253587,0.40176620551950365,-3355897,3355613,5609200,0.5907904228587824,5609200,1.0,0,0,9240653,0.973274137731098,5609200,1.0,-3536027,-95426,8657036,0.9118045281223172,5103234,0.9097971190187549,-3553802,505966,9482168,0.9987117668006158,5609200,1.0,-3541571,-331397,5940000,0.6256320173609725,2584198,0.46070705269913714,-3355802,3025002
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,2025-06-15 18:00:00+00:00,,396025,3479622,9007880,407524,184696,5712698,1069986,3479645,9007545,167,34453,9995075,10,0,9279834,5,10781,10394423,10394423,97,185000,7099000,10394423,3479645,9007545,5527900,True,session_status_finished,0,5528258,0.5318484729744017,5527900,1.0,-23,-335,5528002,0.531823844382704,2233053,0.4039604551457154,-3294949,3294847,5527900,0.5318140314281995,5527900,1.0,0,0,9960622,0.9582659855193502,5527900,1.0,-3445192,-987530,9279834,0.8927704789385615,5527900,1.0,-3479645,-272289,10383642,0.9989628091910441,5527900,1.0,-3468864,-1386878,6914000,0.6651643867100656,3619355,0.6547432117078819,-3294645,1908545
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,2025-06-29 13:00:00+00:00,,307177,4268568,9363909,314417,1081155,6176645,821801,4268607,9363807,161,28548,9629045,14,0,9679506,5,4376,9680006,9680006,117,91000,6492000,9680006,4268607,9363807,5095200,True,session_status_finished,0,5095341,0.5263778762120602,5095200,1.0,-39,-102,5095490,0.5263932687645029,1908038,0.3744775474956822,-3187452,3187162,5095200,0.5263633101053863,5095200,1.0,0,0,9600497,0.9917862654217363,5095200,1.0,-4240059,-265238,9679506,0.9999483471394542,5095200,1.0,-4268607,-315699,9675630,0.9995479341645036,5095200,1.0,-4264231,-316199,6401000,0.6612599207066607,2223393,0.43637011304757417,-4177607,2871807
2025-british-grand-prix-r,2025,British Grand Prix,2025-07-06 14:00:00+00:00,,350061,3369200,9289341,359209,229726,6149968,943107,3369287,9289287,155,19723,9260295,33,0,8441958,5,8247,9434243,9434243,158,55000,6295000,9434243,3369287,9289287,5920000,True,session_status_finished,0,5920141,0.6275162723707668,5920000,1.0,-87,-54,5920242,0.6275269780521872,2780681,0.4697096283783784,-3139561,3139319,5920000,0.6275013268155166,5920000,1.0,0,0,9240572,0.9794714848875528,5891008,0.9951027027027027,-3349564,28992,8441958,0.8948209199190651,5072671,0.8568701013513513,-3369287,847329,9425996,0.9991258440131339,5920000,1.0,-3361040,-144956,6240000,0.6614203174541932,2925713,0.494208277027027,-3314287,2994287
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,2025-07-27 13:00:00+00:00,,385605,8072293,13290070,394553,4800264,10017963,1035545,8072330,13289930,223,36172,13357618,14,0,8765268,5,2547,13458265,13458265,116,104000,10186000,13458265,8072330,13289930,5217600,True,session_status_finished,0,5217777,0.3877005691298247,5217600,1.0,-37,-140,5217699,0.38769477343476294,1945633,0.3728980757436369,-3272066,3271967,5217600,0.3876874173602615,5217600,1.0,0,0,13321446,0.9898338307352397,5217600,1.0,-8036158,-67688,8765268,0.6512925700303865,692938,0.1328078043544925,-8072330,4524662,13455718,0.9998107482650995,5217600,1.0,-8069783,-168335,10082000,0.7491307386204685,2113670,0.4051038791781662,-7968330,3103930
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,2025-08-03 13:00:00+00:00,,422697,3468096,9261436,431568,186169,5980150,1134521,3468106,9261406,157,15360,9375778,12,0,2547920,5,7359,9412940,9412940,96,186000,6105000,9412940,3468106,9261406,5793300,True,session_status_finished,0,5793340,0.6154655187433469,5793300,1.0,-10,-30,5793981,0.6155336164896409,2512044,0.4336119310237688,-3281937,3281256,5793300,0.6154612692739994,5793300,1.0,0,0,9360418,0.9944202342732451,5793300,1.0,-3452746,-114372,2547920,0.27068269849802506,0,0.0,-3468106,6713486,9405581,0.9992182038767908,5793300,1.0,-3460747,-151534,5919000,0.628815226698566,2636894,0.45516268793261183,-3282106,3156406
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,2025-08-31 13:00:00+00:00,,411922,3394276,9327578,426422,201079,6134545,1119107,3394287,9327487,159,58063,9538917,20,0,9527095,5,5062,10002761,10002761,108,201000,6810000,10002761,3394287,9327487,5933200,True,session_status_finished,0,5933302,0.5931664267495744,5933200,1.0,-11,-91,5933466,0.5931828222227843,2740258,0.4618516146430257,-3193208,3192942,5933200,0.5931562295650171,5933200,1.0,0,0,9480854,0.947823705874808,5933200,1.0,-3336224,-211430,9527095,0.9524465295132014,5933200,1.0,-3394287,-199608,9997699,0.9994939397232424,5933200,1.0,-3389225,-675274,6609000,0.6607175758773003,3415713,0.5756949032562529,-3193287,2517487
2025-italian-grand-prix-r,2025,Italian Grand Prix,2025-09-07 13:00:00+00:00,,305174,3469939,7956596,312764,214934,4701696,820417,3470087,7956587,144,18360,8598890,6,0,6824950,5,7141,8652942,8652942,71,215000,4896000,8652942,3470087,7956587,4486500,True,session_status_finished,0,4486657,0.5185123163890385,4486500,1.0,-148,-9,4486762,0.5185244509901951,1231609,0.27451443218544525,-3255153,3254891,4486500,0.5184941722711189,4486500,1.0,0,0,8580530,0.9916315167719835,4486500,1.0,-3451727,-642303,6824950,0.7887432967885374,3354863,0.7477684163601916,-3470087,1131637,8645801,0.9991747315537305,4486500,1.0,-3462946,-696355,4681000,0.5409720763180893,1425913,0.3178230246294439,-3255087,3060587
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,2025-09-21 11:00:00+00:00,,401811,3447547,9150309,403191,233733,5936411,1074586,3447717,9150217,156,23331,9323805,20,0,9332892,5,6173,9389504,9389504,71,234000,6175000,9389504,3447717,9150217,5702500,True,session_status_finished,0,5702762,0.6073549784951366,5702500,1.0,-170,-92,5702678,0.6073460323356803,2488694,0.43642156948706706,-3213984,3213806,5702500,0.6073270749977847,5702500,1.0,0,0,9300474,0.990518135995256,5702500,1.0,-3424386,-173588,9332892,0.9939707145340159,5702500,1.0,-3447717,-182675,9383331,0.9993425637818568,5702500,1.0,-3441544,-239287,5941000,0.6327277777399104,2727283,0.4782609381850066,-3213717,2975217
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,2025-10-05 12:00:00+00:00,,453072,3297851,9413677,463509,212234,6328287,1211554,3297937,9413637,161,38510,9639692,14,2064,7623301,5,8064,9642852,9642852,119,212000,6532000,9642852,3297937,9413637,6115700,True,session_status_finished,0,6115826,0.6342341456656184,6115700,1.0,-86,-40,6116053,0.6342576864189142,3030350,0.4955033765554229,-3085703,3085350,6115700,0.6342210789919829,6115700,1.0,0,0,9601182,0.9956786643619543,6115700,1.0,-3259427,-226055,7621237,0.7903509252241971,4325364,0.7072557515901695,-3295873,1790336,9634788,0.9991637328873242,6115700,1.0,-3289873,-229215,6320000,0.6554077569582111,3234063,0.5288132184377913,-3085937,2881637
2025-united-states-grand-prix-r,2025,United States Grand Prix,2025-10-19 19:00:00+00:00,,400592,3404672,9137252,417891,220181,5953023,1086678,3404707,9137207,154,34333,9214705,19,0,6898675,5,9840,9289288,9289288,79,220000,6105000,9289288,3404707,9137207,5732500,True,session_status_finished,0,5732580,0.6171172645309306,5732500,1.0,-35,-45,5732842,0.6171454690607073,2548316,0.44453833406018317,-3184526,3184184,5732500,0.6171086524607698,5732500,1.0,0,0,9180372,0.9882750970795608,5732500,1.0,-3370374,-77498,6898675,0.7426484139580989,3493968,0.6095016136066289,-3404707,2238532,9279448,0.99894071537022,5732500,1.0,-3394867,-152081,5885000,0.63352541120482,2700293,0.4710498037505451,-3184707,3032207
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,2025-10-26 20:00:00+00:00,,393063,3427710,9384811,401381,196599,6153681,1059385,3427825,9384725,162,18513,9678846,9,0,9287646,5,9754,9707743,9707743,78,196000,6398000,9707743,3427825,9384725,5956900,True,session_status_finished,0,5957101,0.6136442837433995,5956900,1.0,-115,-86,5957082,0.6136423265428431,2725856,0.45759640081250313,-3231226,3231044,5956900,0.6136235786217249,5956900,1.0,0,0,9660333,0.995116269559258,5956900,1.0,-3409312,-294121,9287646,0.9567255746263575,5859821,0.98370310060602,-3427825,97079,9697989,0.9989952350407298,5956900,1.0,-3418071,-323018,6202000,0.6388714657979718,2970175,0.49861085463915794,-3231825,2986725
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,2025-11-09 17:00:00+00:00,,369890,3414725,9005345,372745,194142,5785023,983789,3414801,9005301,152,61035,9121811,10,0,4219151,5,7034,9158888,9158888,56,194000,5908000,9158888,3414801,9005301,5590500,True,session_status_finished,0,5590620,0.6104037957446362,5590500,1.0,-76,-44,5590881,0.610432292653868,2370222,0.4239731687684465,-3220659,3220278,5590500,0.6103906937174033,5590500,1.0,0,0,9060776,0.9892877825342989,5590500,1.0,-3353766,-116510,4219151,0.4606619275178384,804350,0.14387800733386996,-3414801,4786150,9151854,0.9992320028370256,5590500,1.0,-3407767,-153587,5714000,0.6238748634113661,2493199,0.44597066452016815,-3220801,3097301
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,2025-11-23 04:00:00+00:00,,328580,3461979,8421836,334193,248588,5208868,874472,3462049,8421749,141,6103,8406722,16,0,5069670,5,9365,8571060,8571060,61,249000,5358000,8571060,3462049,8421749,4959700,True,session_status_finished,0,4959857,0.5786748663525865,4959700,1.0,-70,-87,4960280,0.5787242184747278,1746819,0.3522025525737444,-3213461,3212881,4959700,0.5786565488982693,4959700,1.0,0,0,8400619,0.9801143615842148,4944673,0.9969701796479625,-3455946,15027,5069670,0.5914869339381593,1607621,0.32413674214166177,-3462049,3352079,8561695,0.9989073696835631,4959700,1.0,-3452684,-149311,5109000,0.5960756312521438,1895951,0.382271306732262,-3213049,3063749
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,2025-11-30 16:00:00+00:00,,355718,3521577,8684716,365582,207201,5370321,964250,3521625,8684625,149,55358,8936070,4,0,4563334,5,7491,8985803,8985803,79,207000,5453000,8985803,3521625,8684625,5163000,True,session_status_finished,0,5163139,0.5745884925365046,5163000,1.0,-48,-91,5163120,0.5745863780899715,1848696,0.3580662405578152,-3314424,3314304,5163000,0.5745730236908154,5163000,1.0,0,0,8880712,0.9883047736523937,5163000,1.0,-3466267,-251445,4563334,0.5078381976546782,1041709,0.20176428433081542,-3521625,4121291,8978312,0.999166351632681,5163000,1.0,-3514134,-301178,5246000,0.583809816440445,1931375,0.37407999225256633,-3314625,3231625
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,2025-12-07 13:00:00+00:00,,389065,3500956,8753214,394965,207635,5460235,1043228,3501037,8753137,154,60108,9240886,7,0,2812088,5,11502,9280200,9280200,107,208000,5888000,9280200,3501037,8753137,5252100,True,session_status_finished,0,5252258,0.5659638800887912,5252100,1.0,-81,-77,5252600,0.5660007327428288,1959198,0.37303135888501743,-3293402,3292902,5252100,0.565946854593651,5252100,1.0,0,0,9180778,0.9892866533048856,5252100,1.0,-3440929,-487749,2812088,0.30302019353031184,0,0.0,-3501037,5941049,9268698,0.9987605870563134,5252100,1.0,-3489535,-527063,5680000,0.6120557746600289,2386963,0.45447782791645247,-3293037,2865137
