import_round,session_id,year,event_name,circuit_name,country,session_type,session_start_utc,session_end_utc,source,imported_at_utc,driver_count,missing_driver_number,missing_full_name,missing_team_name,lap_rows,lap_driver_count,missing_lap_time_rows,missing_sector_rows,inaccurate_lap_rows,deleted_lap_rows,pit_lap_rows,max_lap_number,telemetry_samples,telemetry_driver_count,telemetry_start_utc,telemetry_end_utc,telemetry_session_time_nulls,telemetry_lap_time_nulls,telemetry_speed_nulls,telemetry_rpm_nulls,position_samples,position_driver_count,position_start_utc,position_end_utc,position_xy_nulls,position_track_status_values,aligned_samples,aligned_driver_count,aligned_start_utc,aligned_end_utc,aligned_non_ok_rows,aligned_interpolated_car_rows,aligned_interpolated_location_rows,weather_samples,weather_start_ms,weather_end_ms,weather_air_temp_nulls,weather_track_temp_nulls,weather_humidity_nulls,weather_pressure_nulls,weather_rainfall_nulls,weather_rainfall_true_samples,min_air_temp_c,max_air_temp_c,min_track_temp_c,max_track_temp_c,min_pressure_mbar,max_pressure_mbar,weather_max_gap_ms,track_status_events,track_status_code_count,yellow_status_events,safety_car_status_events,vsc_status_events,red_flag_status_events,session_status_events,session_status_value_count,race_control_messages,race_control_missing_session_time,race_control_missing_message_time,race_control_missing_category,race_control_driver_scoped,race_control_lap_scoped,race_control_category_count,circuit_metadata_rows,circuit_rotation_nulls,circuit_markers,corner_markers,marshal_light_markers,marshal_sector_markers,marker_distance_nulls,telemetry_null_pct,position_xy_null_pct,aligned_non_ok_pct,race_control_untimed_pct,weather_null_pct,session_metadata_incomplete,session_end_missing,driver_metadata_sparse,lap_metadata_incomplete,raw_telemetry_coverage_issue,raw_position_coverage_issue,aligned_replay_quality_issue,ingestion_diagnostic_warning,weather_surface_issue,status_timeline_sparse,race_control_sparse_or_untimed,circuit_annotation_issue,surface_issue_count,has_surface_issue
1,2025-australian-grand-prix-r,2025,Australian Grand Prix,Melbourne,Australia,R,2025-03-16 04:00:00+00:00,,fastf1,2026-06-07 07:46:56.375948+00:00,20,0,0,0,927,20,69,24,359,6,132,57,372477,20,2025-03-16 04:18:23.093000+00:00,2025-03-16 06:01:09.648000+00:00,0,0,0,0,380930,20,2025-03-16 04:18:23.168000+00:00,2025-03-16 06:01:09.728000+00:00,0,1,999583,20,2025-03-16 04:18:23.200000+00:00,2025-03-16 06:01:09.600000+00:00,17426,996203,999583,178,7776,10629022,0,0,0,0,0,58,15.1,16.6,18.3,19.4,1009.0,1010.7,60092,20,3,8,3,0,0,5,5,113,13,0,0,10,113,4,54,0,54,14,20,20,0,0.0,0.0,1.7433269673453828,11.504424778761061,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
2,2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Shanghai,China,R,2025-03-23 07:00:00+00:00,,fastf1,2026-06-15 19:49:30.698132+00:00,20,0,0,0,1065,20,0,20,70,3,52,56,392448,20,2025-03-23 07:03:38.858000+00:00,2025-03-23 08:35:54.917000+00:00,0,0,0,0,398411,20,2025-03-23 07:03:38.869000+00:00,2025-03-23 08:35:55.072000+00:00,0,1,1049027,20,2025-03-23 07:03:38.900000+00:00,2025-03-23 08:35:54.900000+00:00,17757,1044397,1049027,154,44889,9225673,0,0,0,0,0,0,26.4,28.1,30.5,43.0,1010.0,1011.4,60066,14,2,7,0,0,0,5,5,56,21,0,0,8,56,3,56,0,56,16,20,20,0,0.0,0.0,1.6927114364072613,37.5,0.0,False,True,False,False,False,False,False,True,False,False,True,False,2,True
3,2025-japanese-grand-prix-r,2025,Japanese Grand Prix,Suzuka,Japan,R,2025-04-06 05:00:00+00:00,,fastf1,2026-06-07 07:47:08.413568+00:00,20,0,0,0,1059,20,0,20,62,8,42,53,371291,20,2025-04-06 05:03:47.204000+00:00,2025-04-06 06:27:18.142000+00:00,0,0,0,0,379525,20,2025-04-06 05:03:47.385000+00:00,2025-04-06 06:27:18.158000+00:00,0,1,994294,20,2025-04-06 05:03:47.400000+00:00,2025-04-06 06:27:18.100000+00:00,15746,988554,993214,140,25703,8366377,0,0,0,0,0,0,14.2,14.7,19.0,23.0,1008.7,1010.0,60082,1,1,0,0,0,0,5,5,23,4,0,0,2,23,3,62,0,62,18,22,22,0,0.0,0.0,1.5836362283187868,17.391304347826086,0.0,False,True,False,False,False,False,False,True,False,False,True,False,2,True
4,2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,Sakhir,Bahrain,R,2025-04-13 15:00:00+00:00,,fastf1,2026-06-07 07:46:48.566003+00:00,20,0,0,0,1128,20,13,40,176,31,84,57,425177,20,2025-04-13 15:03:49.197000+00:00,2025-04-13 16:40:35.617000+00:00,0,0,0,0,436990,20,2025-04-13 15:03:49.176000+00:00,2025-04-13 16:40:35.398000+00:00,0,1,1144940,20,2025-04-13 15:03:49.200000+00:00,2025-04-13 16:40:35.300000+00:00,16840,1140560,1144940,158,14542,9435360,0,0,0,0,0,0,26.6,27.9,30.2,34.8,1007.8,1008.5,60137,3,2,0,1,0,0,5,5,91,4,0,0,6,91,4,51,0,51,15,18,18,0,0.0,0.0,1.4708194315859346,4.395604395604396,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
5,2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,R,2025-04-20 17:00:00+00:00,,fastf1,2026-06-07 07:46:59.183241+00:00,20,0,0,0,898,20,37,20,88,12,39,50,333314,20,2025-04-20 17:03:55.747000+00:00,2025-04-20 18:26:41.844000+00:00,0,0,0,0,336779,20,2025-04-20 17:03:55.532000+00:00,2025-04-20 18:26:42.073000+00:00,0,1,885764,20,2025-04-20 17:03:55.800000+00:00,2025-04-20 18:26:41.800000+00:00,14579,881390,885764,142,2318,8462614,0,0,0,0,0,0,28.3,31.7,35.9,39.4,1006.3,1007.3,60059,4,3,1,1,0,0,5,5,65,4,0,0,14,65,4,69,0,69,27,21,21,0,0.0,0.0,1.6459237449252848,6.153846153846154,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
6,2025-miami-grand-prix-r,2025,Miami Grand Prix,Miami Gardens,United States,R,2025-05-04 20:00:00+00:00,,fastf1,2026-06-07 07:47:01.222333+00:00,20,0,0,0,1005,20,3,22,144,4,38,57,356089,20,2025-05-04 20:03:42.279000+00:00,2025-05-04 21:34:04.378000+00:00,0,0,0,0,362855,20,2025-05-04 20:03:42.298000+00:00,2025-05-04 21:34:04.264000+00:00,0,1,955079,20,2025-05-04 20:03:42.300000+00:00,2025-05-04 21:34:04.200000+00:00,17542,950750,955079,149,17964,8898989,0,0,0,0,0,5,25.9,28.0,34.8,45.2,1011.6,1012.8,60046,22,4,7,0,6,0,5,5,77,19,0,0,9,77,4,58,0,58,19,19,20,0,0.0,0.0,1.8367067017492793,24.675324675324674,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
7,2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Imola,Italy,R,2025-05-18 13:00:00+00:00,,fastf1,2026-06-07 07:50:35.106988+00:00,20,0,0,0,1207,20,2,22,251,3,75,63,393149,20,2025-05-18 13:03:33.232000+00:00,2025-05-18 14:35:45.011000+00:00,0,0,0,0,400409,20,2025-05-18 13:03:33.300000+00:00,2025-05-18 14:35:45.002000+00:00,0,1,1055536,20,2025-05-18 13:03:33.300000+00:00,2025-05-18 14:35:45+00:00,17167,1051166,1031765,150,34663,8975262,0,0,0,0,0,0,23.4,24.3,38.6,45.9,1009.2,1010.2,60066,8,5,2,1,2,0,5,5,44,4,0,0,5,44,4,57,0,57,19,19,19,0,0.0,0.0,1.6263774992041957,9.090909090909092,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
8,2025-monaco-grand-prix-r,2025,Monaco Grand Prix,Monaco,Monaco,R,2025-05-25 13:00:00+00:00,,fastf1,2026-06-07 07:47:53.657381+00:00,20,0,0,0,1425,20,2,22,154,14,81,78,420152,20,2025-05-25 13:03:09.252000+00:00,2025-05-25 14:44:55.035000+00:00,0,0,0,0,429303,20,2025-05-25 13:03:09.235000+00:00,2025-05-25 14:44:55.058000+00:00,0,1,1131575,20,2025-05-25 13:03:09.300000+00:00,2025-05-25 14:44:55+00:00,23043,1128041,1131575,160,18586,9559327,0,0,0,0,0,0,21.3,22.9,41.3,45.2,1016.2,1017.3,60060,12,4,4,0,2,0,5,5,196,8,0,0,146,196,4,57,0,57,19,19,19,0,0.0,0.0,2.0363652431345693,4.081632653061225,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
9,2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Barcelona,Spain,R,2025-06-01 13:00:00+00:00,,fastf1,2026-06-15 19:58:09.898756+00:00,19,0,0,0,1203,19,1,20,213,9,109,66,378908,19,2025-06-01 13:03:17.667000+00:00,2025-06-01 14:36:47.247000+00:00,0,0,0,0,388975,19,2025-06-01 13:03:17.905000+00:00,2025-06-01 14:36:47.389000+00:00,0,1,1019335,19,2025-06-01 13:03:18+00:00,2025-06-01 14:36:47.200000+00:00,14505,1015159,1019335,155,17775,9258428,0,0,0,0,0,0,28.1,30.0,46.5,50.4,1002.0,1003.6,60082,11,3,5,1,0,0,5,5,100,5,0,0,45,100,4,46,0,46,14,16,16,0,0.0,0.0,1.4229865549598513,5.0,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
10,2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Montréal,Canada,R,2025-06-15 18:00:00+00:00,,fastf1,2026-06-07 07:48:18.638629+00:00,20,0,0,0,1349,20,3,23,152,9,131,70,396025,20,2025-06-15 18:03:04.677000+00:00,2025-06-15 19:35:12.935000+00:00,0,0,0,0,407524,20,2025-06-15 18:03:04.696000+00:00,2025-06-15 19:35:12.698000+00:00,0,1,1069986,20,2025-06-15 18:03:04.700000+00:00,2025-06-15 19:35:12.600000+00:00,19435,1066246,1069986,167,34453,9995075,0,0,0,0,0,1,22.8,25.6,47.0,50.4,1018.6,1019.2,60032,10,3,4,1,0,0,5,5,97,5,0,0,42,97,4,44,0,44,14,15,15,0,0.0,0.0,1.8163789058922266,5.154639175257731,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
