session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-australian-grand-prix-r,2025,Australian Grand Prix,ALB,23,raw_car_telemetry,22873,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,ALB,23,raw_location_telemetry,23398,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,ALO,14,raw_car_telemetry,13022,158.0,240.0,399.0,481.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,ALO,14,raw_location_telemetry,13336,20.0,240.0,380.0,500.0,1340.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,ANT,12,raw_car_telemetry,22862,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,ANT,12,raw_location_telemetry,23388,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,BEA,87,raw_car_telemetry,22980,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,BEA,87,raw_location_telemetry,23505,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,BOR,5,raw_car_telemetry,18661,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,BOR,5,raw_location_telemetry,19083,20.0,240.0,380.0,520.0,1340.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,DOO,7,raw_car_telemetry,442,159.0,240.0,360.0,711.4000000000027,1080.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,DOO,7,raw_location_telemetry,418,20.0,260.0,400.0,793.599999999999,1120.0,3.8461538461538463,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,GAS,10,raw_car_telemetry,22924,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,GAS,10,raw_location_telemetry,23450,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
