session_id,year,event_name,start_ms,end_ms,duration_ms,status_code,status_label,message
2025-australian-grand-prix-r,2025,Australian Grand Prix,24491,1060825.0,1036334.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,1060825,1065814.0,4989.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,1065814,2060843.0,995029.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,2060843,2154306.0,93463.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,2154306,2497243.0,342937.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,2497243,2544684.0,47441.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,2544684,3216416.0,671732.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,3216416,3474535.0,258119.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,3474535,4325120.0,850585.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,4325120,4328954.0,3834.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,4328954,5270163.0,941209.0,4,safety_car,SCDeployed
2025-australian-grand-prix-r,2025,Australian Grand Prix,5270163,7646655.0,2376492.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,7646655,7667268.0,20613.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,7667268,8702727.0,1035459.0,4,safety_car,SCDeployed
2025-australian-grand-prix-r,2025,Australian Grand Prix,8702727,8965516.0,262789.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,8965516,9051142.0,85626.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,9051142,9194868.0,143726.0,1,clear,AllClear
2025-australian-grand-prix-r,2025,Australian Grand Prix,9194868,9223734.0,28866.0,2,yellow,Yellow
2025-australian-grand-prix-r,2025,Australian Grand Prix,9223734,9835069.0,611335.0,4,safety_car,SCDeployed
2025-australian-grand-prix-r,2025,Australian Grand Prix,9835069,10632748.0,797679.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,0,264487.0,264487.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,264487,1683697.0,1419210.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,1683697,1823766.0,140069.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,1823766,3594203.0,1770437.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3594203,3606116.0,11913.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3606116,3607114.0,998.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3607114,3610638.0,3524.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3610638,3613330.0,2692.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3613330,3615411.0,2081.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3615411,3744512.0,129101.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3744512,3770712.0,26200.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,3770712,4107286.0,336574.0,1,clear,AllClear
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,4107286,4113507.0,6221.0,2,yellow,Yellow
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,4113507,9243467.0,5129960.0,1,clear,AllClear
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,0,8495802.0,8495802.0,1,clear,AllClear
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,0,6475160.0,6475160.0,1,clear,AllClear
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,6475160,6940811.0,465651.0,4,safety_car,SCDeployed
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,6940811,9913997.0,2973186.0,1,clear,AllClear
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,8569,3446539.0,3437970.0,1,clear,AllClear
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,3446539,3483483.0,36944.0,2,yellow,Yellow
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,3483483,3847987.0,364504.0,4,safety_car,SCDeployed
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,3847987,8490361.0,4642374.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,0,571034.0,571034.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,571034,1479950.0,908916.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,1479950,1520127.0,40177.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,1520127,1523138.0,3011.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,1523138,2304940.0,781802.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,2304940,3449271.0,1144331.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,3449271,3456935.0,7664.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,3456935,3461471.0,4536.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,3461471,3466655.0,5184.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,3466655,3478833.0,12178.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,3478833,3524838.0,46005.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,3524838,3573272.0,48434.0,1,clear,AllClear
2025-miami-grand-prix-r,2025,Miami Grand Prix,3573272,3576613.0,3341.0,2,yellow,Yellow
2025-miami-grand-prix-r,2025,Miami Grand Prix,3576613,3748176.0,171563.0,6,vsc_deployed,VSCDeployed
2025-miami-grand-prix-r,2025,Miami Grand Prix,3748176,3761221.0,13045.0,7,vsc_ending,VSCEnding
