session_id,year,event_name,session_time_ms,rainfall,air_temp_c,track_temp_c,humidity_pct,pressure_mbar
2025-australian-grand-prix-r,2025,Australian Grand Prix,547785,False,15.6,18.7,89.0,1009.1
2025-australian-grand-prix-r,2025,Australian Grand Prix,1447858,True,15.5,18.7,86.0,1009.2
2025-australian-grand-prix-r,2025,Australian Grand Prix,1927922,False,15.1,18.5,87.0,1009.8
2025-australian-grand-prix-r,2025,Australian Grand Prix,2047926,True,15.1,18.5,87.0,1009.6
2025-australian-grand-prix-r,2025,Australian Grand Prix,2527971,False,15.2,18.3,87.0,1009.2
2025-australian-grand-prix-r,2025,Australian Grand Prix,4448204,True,15.8,19.2,75.0,1010.0
2025-australian-grand-prix-r,2025,Australian Grand Prix,4568255,False,15.8,19.2,76.0,1009.9
2025-australian-grand-prix-r,2025,Australian Grand Prix,4628247,True,15.8,19.2,75.0,1010.0
2025-australian-grand-prix-r,2025,Australian Grand Prix,4988292,False,15.8,19.0,76.0,1009.9
2025-australian-grand-prix-r,2025,Australian Grand Prix,5888397,True,16.0,19.3,74.0,1010.1
2025-australian-grand-prix-r,2025,Australian Grand Prix,6008441,False,16.0,19.3,75.0,1009.9
2025-australian-grand-prix-r,2025,Australian Grand Prix,6068443,True,16.0,19.3,73.0,1010.0
2025-australian-grand-prix-r,2025,Australian Grand Prix,6848482,False,15.8,19.2,77.0,1010.1
2025-australian-grand-prix-r,2025,Australian Grand Prix,7028482,True,15.7,19.2,78.0,1010.2
2025-australian-grand-prix-r,2025,Australian Grand Prix,7088485,False,15.8,19.2,77.0,1010.2
2025-australian-grand-prix-r,2025,Australian Grand Prix,9008727,True,16.4,19.3,76.0,1010.4
2025-australian-grand-prix-r,2025,Australian Grand Prix,9548829,False,15.1,18.8,82.0,1010.6
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,456200,True,18.4,25.2,82.0,965.0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,636210,False,18.2,26.2,82.0,965.0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,936257,True,18.5,27.3,76.0,965.0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,3816741,False,17.1,24.0,88.0,965.0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,3876746,True,17.2,24.5,90.0,965.1
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,3996756,False,17.2,24.4,88.0,965.1
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,4236799,True,17.4,23.7,89.0,965.1
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,6936990,False,15.5,24.3,90.0,964.6
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,7057007,True,15.6,25.2,92.0,964.7
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,7177036,False,15.9,25.5,89.0,964.7
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,7477053,True,16.4,26.3,86.0,964.8
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,7597069,False,16.7,26.3,83.0,964.8
2025-british-grand-prix-r,2025,British Grand Prix,859689,True,18.3,24.0,78.0,988.7
2025-british-grand-prix-r,2025,British Grand Prix,1879798,False,17.2,22.2,87.0,988.7
2025-british-grand-prix-r,2025,British Grand Prix,4579959,True,19.0,24.0,74.0,988.8
2025-british-grand-prix-r,2025,British Grand Prix,5240004,False,16.2,20.5,85.0,988.9
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,9215019,True,24.6,49.4,26.0,1018.8
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,9275021,False,24.5,49.3,26.0,1018.8
2025-miami-grand-prix-r,2025,Miami Grand Prix,6198758,True,26.6,36.4,61.0,1012.0
2025-miami-grand-prix-r,2025,Miami Grand Prix,6378787,False,26.5,36.0,60.0,1012.2
2025-miami-grand-prix-r,2025,Miami Grand Prix,6498776,True,26.4,36.4,59.0,1012.2
2025-miami-grand-prix-r,2025,Miami Grand Prix,6618781,False,26.3,35.5,61.0,1012.3
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,278524,True,28.8,34.3,74.0,1009.9
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,518522,False,28.7,34.1,72.0,1010.0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,758542,True,28.8,34.0,73.0,1010.0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,878532,False,28.7,33.7,73.0,1010.1
