event_name,event_round,driver_code,lap_number,reasons,shape_rmse_m,shape_p95_m,path_length_m,length_error_pct
Saudi Arabian Grand Prix,5,HUL,25,shape_rmse_over_threshold,25.30128752193474,30.69996881194602,6109.738545881438,-0.013970624497593766
British Grand Prix,12,ALO,24,shape_rmse_over_threshold,25.28450385220114,43.45458963301585,5892.635987198032,0.002519880390959993
Belgian Grand Prix,13,STR,6,"shape_rmse_over_threshold,shape_p95_over_threshold",34.78976195659662,55.70939645966399,7109.30727175156,0.018765415404232853
Belgian Grand Prix,13,STR,19,"shape_rmse_over_threshold,shape_p95_over_threshold",31.09645560604939,60.0407595193947,7001.106375144095,0.0032602013002635158
Belgian Grand Prix,13,TSU,5,shape_rmse_over_threshold,27.923491327469534,44.889642079083,6968.289007483113,-0.0014425352561459872
Belgian Grand Prix,13,STR,15,shape_rmse_over_threshold,27.35969713078148,46.858095053272194,6970.912049376949,-0.0010666527316679146
Belgian Grand Prix,13,HAD,10,shape_rmse_over_threshold,27.311825522271572,42.345281764556496,6946.897798752583,-0.004507900532302868
Belgian Grand Prix,13,PIA,5,shape_rmse_over_threshold,27.28728801230156,42.24651019402383,6945.5958574333845,-0.004694469031621454
Belgian Grand Prix,13,ALO,44,shape_rmse_over_threshold,27.27283805877557,42.3389682958034,6947.341635494201,-0.0044442986221360945
Belgian Grand Prix,13,RUS,16,shape_rmse_over_threshold,27.171755401125026,42.23135951343088,6947.635087668982,-0.004402246856005509
Belgian Grand Prix,13,PIA,20,shape_rmse_over_threshold,27.145935869594645,42.05687873215007,6948.231773102146,-0.004316741692148263
Belgian Grand Prix,13,STR,34,shape_rmse_over_threshold,27.11874895679067,42.122787708042885,6948.158106629442,-0.004327298115129667
Italian Grand Prix,16,ANT,4,"shape_rmse_over_threshold,shape_p95_over_threshold",25.33684334327786,50.53062516087966,5835.505875754824,0.008462829986062924
Italian Grand Prix,16,SAI,26,shape_p95_over_threshold,24.829619636573387,63.684760866423034,5819.404538330746,0.005680277684520394
Italian Grand Prix,16,ALB,24,shape_p95_over_threshold,24.820052207281137,67.59881666130345,5854.570380938447,0.011757462064087053
Italian Grand Prix,16,SAI,12,shape_p95_over_threshold,22.916462592136945,63.862881408753715,5831.4391799043715,0.007760044024852752
Azerbaijan Grand Prix,17,ALO,5,"shape_rmse_over_threshold,shape_p95_over_threshold",40.35255658739988,70.98943746997335,6099.881827115425,0.026571099159139775
Azerbaijan Grand Prix,17,ALO,48,"shape_rmse_over_threshold,shape_p95_over_threshold",31.64951052922409,54.3790440827358,6074.622134308279,0.022320054410340646
Singapore Grand Prix,18,ALB,12,"shape_rmse_over_threshold,shape_p95_over_threshold",38.34003556475103,73.18853267927352,4974.315086471048,0.006411695518008114
Singapore Grand Prix,18,COL,51,"shape_rmse_over_threshold,shape_p95_over_threshold",33.68883213260743,56.54465197584723,4990.518036434268,0.009689903283581372
Singapore Grand Prix,18,ALB,4,shape_rmse_over_threshold,27.797872846280395,46.20973705855514,4958.284164269151,0.003168292695012822
Singapore Grand Prix,18,ALB,24,shape_rmse_over_threshold,27.584252483383242,48.31080255469718,4945.045547725964,0.0004898337936500021
Singapore Grand Prix,18,ALB,47,shape_rmse_over_threshold,26.41605144740406,45.05131285811997,4940.257566415594,-0.0004788785426038237
United States Grand Prix,19,ANT,13,"shape_rmse_over_threshold,shape_p95_over_threshold",33.768554383779225,56.28875546788027,5516.328198056112,-0.0006022312074906259
United States Grand Prix,19,ANT,55,"shape_rmse_over_threshold,shape_p95_over_threshold",28.59177584666521,53.41981646338841,5525.913830898745,0.0011344058691008278
Las Vegas Grand Prix,22,ANT,47,shape_rmse_over_threshold,33.5551151893503,49.167576240048454,6262.254834549344,0.0066942310515663754
Las Vegas Grand Prix,22,ANT,46,"shape_rmse_over_threshold,shape_p95_over_threshold",31.136799144753876,50.294727700009304,6247.925231501307,0.004390663230894027
Qatar Grand Prix,23,GAS,12,"shape_rmse_over_threshold,shape_p95_over_threshold",41.14175491419317,79.2741347986356,5543.1064290104805,0.022580551550894282
Qatar Grand Prix,23,COL,14,shape_rmse_over_threshold,26.81060054545341,47.79932712048093,5471.049287044818,0.009287602386362007
Abu Dhabi Grand Prix,24,ANT,4,"shape_rmse_over_threshold,shape_p95_over_threshold",34.77274011606809,63.22527706451377,5449.004608494601,0.029522626284844013
Abu Dhabi Grand Prix,24,ANT,7,"shape_rmse_over_threshold,shape_p95_over_threshold",32.1080836101018,50.356431563693974,5403.870701349149,0.020995127786045974
Abu Dhabi Grand Prix,24,ANT,29,shape_rmse_over_threshold,32.051781439950254,42.25664109322719,5443.968683390034,0.028571149967252955
Abu Dhabi Grand Prix,24,ANT,21,"shape_rmse_over_threshold,shape_p95_over_threshold",31.57025762015821,58.71622760716869,5453.094020835092,0.030295270618119322
Abu Dhabi Grand Prix,24,ANT,6,"shape_rmse_over_threshold,shape_p95_over_threshold",31.341606110955144,56.83811932287128,5460.46171420953,0.03168730596723396
Abu Dhabi Grand Prix,24,ANT,9,shape_rmse_over_threshold,28.816032287222512,43.791462469020296,5354.985499935836,0.011758868219107857
Abu Dhabi Grand Prix,24,ANT,27,shape_rmse_over_threshold,27.306448908137646,49.021721158807665,5373.967073887543,0.015345203939088161
Abu Dhabi Grand Prix,24,ANT,8,shape_rmse_over_threshold,27.268245904933682,44.84887289127746,5383.475119372897,0.01714163258289177
Abu Dhabi Grand Prix,24,ANT,11,shape_rmse_over_threshold,25.72610724899637,40.51654676927428,5330.359278876134,0.007106045620769227
