event_round,event_name,driver_code,total_laps,bad_laps,integrity_laps,context_laps,shape_laps,replay_unsafe_laps,lap_comparison_unsafe_laps,bad_pct,integrity_pct,context_pct,shape_pct,replay_unsafe_pct,lap_comparison_unsafe_pct
12,British Grand Prix,ANT,23,19,19,7,7,6,19,82.6086956521739,82.6086956521739,30.434782608695656,30.434782608695656,26.08695652173913,82.6086956521739
12,British Grand Prix,HAD,18,14,14,3,8,4,14,77.77777777777779,77.77777777777779,16.666666666666664,44.44444444444444,22.22222222222222,77.77777777777779
12,British Grand Prix,ALO,52,40,20,24,9,5,40,76.92307692307693,38.46153846153847,46.15384615384615,17.307692307692307,9.615384615384617,76.92307692307693
12,British Grand Prix,HAM,52,39,21,22,9,5,39,75.0,40.38461538461539,42.30769230769231,17.307692307692307,9.615384615384617,75.0
12,British Grand Prix,TSU,51,38,20,22,8,5,38,74.50980392156863,39.21568627450981,43.13725490196079,15.686274509803921,9.803921568627452,74.50980392156863
12,British Grand Prix,BEA,52,38,21,22,11,7,38,73.07692307692307,40.38461538461539,42.30769230769231,21.153846153846153,13.461538461538462,73.07692307692307
12,British Grand Prix,GAS,52,38,20,22,9,5,38,73.07692307692307,38.46153846153847,42.30769230769231,17.307692307692307,9.615384615384617,73.07692307692307
12,British Grand Prix,HUL,52,38,20,22,8,6,38,73.07692307692307,38.46153846153847,42.30769230769231,15.384615384615385,11.538461538461538,73.07692307692307
12,British Grand Prix,RUS,52,38,19,24,10,6,38,73.07692307692307,36.53846153846153,46.15384615384615,19.230769230769234,11.538461538461538,73.07692307692307
12,British Grand Prix,SAI,52,38,21,21,10,5,38,73.07692307692307,40.38461538461539,40.38461538461539,19.230769230769234,9.615384615384617,73.07692307692307
12,British Grand Prix,STR,52,38,20,24,9,6,38,73.07692307692307,38.46153846153847,46.15384615384615,17.307692307692307,11.538461538461538,73.07692307692307
12,British Grand Prix,NOR,52,37,19,22,6,6,37,71.15384615384616,36.53846153846153,42.30769230769231,11.538461538461538,11.538461538461538,71.15384615384616
12,British Grand Prix,PIA,52,37,21,22,7,6,37,71.15384615384616,40.38461538461539,42.30769230769231,13.461538461538462,11.538461538461538,71.15384615384616
12,British Grand Prix,VER,52,37,20,22,6,6,37,71.15384615384616,38.46153846153847,42.30769230769231,11.538461538461538,11.538461538461538,71.15384615384616
12,British Grand Prix,ALB,52,36,19,21,9,5,36,69.23076923076923,36.53846153846153,40.38461538461539,17.307692307692307,9.615384615384617,69.23076923076923
12,British Grand Prix,LEC,52,36,20,22,8,6,36,69.23076923076923,38.46153846153847,42.30769230769231,15.384615384615385,11.538461538461538,69.23076923076923
12,British Grand Prix,OCO,52,35,18,21,9,5,35,67.3076923076923,34.61538461538461,40.38461538461539,17.307692307692307,9.615384615384617,67.3076923076923
13,Belgian Grand Prix,HAD,43,23,10,20,12,3,23,53.48837209302325,23.25581395348837,46.51162790697674,27.906976744186046,6.976744186046512,53.48837209302325
13,Belgian Grand Prix,NOR,44,22,7,18,3,3,22,50.0,15.909090909090908,40.909090909090914,6.8181818181818175,6.8181818181818175,50.0
13,Belgian Grand Prix,OCO,44,21,6,18,11,3,21,47.72727272727273,13.636363636363635,40.909090909090914,25.0,6.8181818181818175,47.72727272727273
13,Belgian Grand Prix,SAI,44,21,10,18,12,3,21,47.72727272727273,22.727272727272727,40.909090909090914,27.27272727272727,6.8181818181818175,47.72727272727273
13,Belgian Grand Prix,TSU,44,21,7,17,6,3,21,47.72727272727273,15.909090909090908,38.63636363636363,13.636363636363635,6.8181818181818175,47.72727272727273
4,Bahrain Grand Prix,RUS,57,27,27,4,19,14,27,47.368421052631575,47.368421052631575,7.017543859649122,33.33333333333333,24.561403508771928,47.368421052631575
1,Australian Grand Prix,LAW,47,22,18,12,12,5,22,46.808510638297875,38.297872340425535,25.53191489361702,25.53191489361702,10.638297872340425,46.808510638297875
1,Australian Grand Prix,BOR,46,21,19,13,12,5,21,45.65217391304348,41.30434782608695,28.26086956521739,26.08695652173913,10.869565217391305,45.65217391304348
1,Australian Grand Prix,ANT,57,26,24,15,21,3,26,45.614035087719294,42.10526315789473,26.31578947368421,36.84210526315789,5.263157894736842,45.614035087719294
1,Australian Grand Prix,BEA,57,26,24,16,17,4,26,45.614035087719294,42.10526315789473,28.07017543859649,29.82456140350877,7.017543859649122,45.614035087719294
1,Australian Grand Prix,GAS,57,26,23,15,20,3,26,45.614035087719294,40.35087719298245,26.31578947368421,35.08771929824561,5.263157894736842,45.614035087719294
1,Australian Grand Prix,HAM,57,26,21,15,20,4,26,45.614035087719294,36.84210526315789,26.31578947368421,35.08771929824561,7.017543859649122,45.614035087719294
1,Australian Grand Prix,LEC,57,26,21,15,20,4,26,45.614035087719294,36.84210526315789,26.31578947368421,35.08771929824561,7.017543859649122,45.614035087719294
1,Australian Grand Prix,OCO,57,26,22,15,19,4,26,45.614035087719294,38.59649122807017,26.31578947368421,33.33333333333333,7.017543859649122,45.614035087719294
13,Belgian Grand Prix,ALB,44,20,7,16,9,3,20,45.45454545454545,15.909090909090908,36.36363636363637,20.454545454545457,6.8181818181818175,45.45454545454545
13,Belgian Grand Prix,COL,44,20,10,16,12,3,20,45.45454545454545,22.727272727272727,36.36363636363637,27.27272727272727,6.8181818181818175,45.45454545454545
13,Belgian Grand Prix,PIA,44,20,6,17,3,3,20,45.45454545454545,13.636363636363635,38.63636363636363,6.8181818181818175,6.8181818181818175,45.45454545454545
