driver_code,total_laps,bad_laps,source_anomaly,pit_sc_context,sparse,incomplete,position,shape,timing,bad_pct
RUS,1442,317,227,179,0,18,18,186,19,21.98335644937587
TSU,1386,294,208,181,0,16,6,171,17,21.21212121212121
BEA,1373,291,212,164,0,18,8,168,19,21.194464675892206
VER,1375,290,202,172,0,19,7,163,20,21.09090909090909
NOR,1434,290,202,164,0,21,8,160,22,20.2231520223152
GAS,1315,289,207,167,0,16,10,171,17,21.977186311787072
ALB,1307,288,198,166,0,18,5,173,19,22.035195103289976
STR,1317,285,198,171,0,19,5,170,19,21.64009111617312
PIA,1394,282,204,167,0,18,6,164,19,20.22955523672884
HUL,1287,280,203,157,0,18,5,165,19,21.756021756021756
OCO,1402,277,184,168,0,19,5,160,20,19.757489300998575
HAM,1360,276,200,162,0,19,5,162,20,20.294117647058822
ALO,1259,275,188,161,0,19,5,159,20,21.842732327243844
ANT,1312,270,208,152,0,21,7,158,22,20.579268292682926
LEC,1359,269,193,155,0,19,5,157,20,19.793966151582048
SAI,1248,265,188,156,0,17,7,154,18,21.233974358974358
HAD,1344,253,185,144,0,13,8,156,14,18.824404761904763
LAW,1276,243,174,144,0,16,7,145,16,19.043887147335422
BOR,1233,223,171,133,0,18,9,136,18,18.085969180859692
COL,1049,210,150,121,0,6,4,128,7,20.019065776930407
DOO,217,30,27,15,0,4,2,18,4,13.82488479262673
