event_round,event_name,driver_code,lap_number,primary_category,secondary_reason_set,reason_count,product_recommendation,safe_for_replay,safe_for_lap_comparison,coverage_deficit_pct,p95_gap_excess_ms,path_ratio_excess_pct,speed_shape_excess_kmh,audit_priority
16,Italian Grand Prix,ALB,1,atypical_speed_profile,import_or_source_data_anomaly,2,keep_with_context_label,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,2,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,3,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,4,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,5,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,6,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,7,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,8,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,9,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
16,Italian Grand Prix,ALB,10,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,225.0344936524566,229.0344936524566
1,Australian Grand Prix,HAD,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,95.0,0.0,183.0
10,Canadian Grand Prix,NOR,67,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,91.40855427975919,0.0,179.4085542797592
1,Australian Grand Prix,LAW,47,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,86.56687264767204,0.0,174.56687264767203
5,Saudi Arabian Grand Prix,GAS,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,80.3455965872244,0.0,168.3455965872244
23,Qatar Grand Prix,HUL,7,timing_session_boundary_artifact,incomplete_lap_window + implausible_channel_values + position_trace_discontinuity + import_or_source_data_anomaly,5,exclude,False,False,80.0,0.0,76.69614030533829,0.0,166.6961403053383
15,Dutch Grand Prix,HAM,23,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,73.3847962077154,0.0,161.3847962077154
22,Las Vegas Grand Prix,STR,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,67.62986070284809,0.0,155.62986070284808
12,British Grand Prix,LAW,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,65.6282740852696,0.0,153.6282740852696
21,São Paulo Grand Prix,LEC,6,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,65.10957426011512,0.0,153.10957426011512
6,Miami Grand Prix,BEA,28,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,64.33862013027772,0.0,152.33862013027772
11,Austrian Grand Prix,VER,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,62.91495338537602,0.0,150.914953385376
11,Austrian Grand Prix,ANT,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,61.673960166122754,0.0,149.67396016612275
17,Azerbaijan Grand Prix,PIA,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,60.223728310426225,0.0,148.22372831042622
1,Australian Grand Prix,DOO,1,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,59.392858660793735,0.0,147.39285866079373
16,Italian Grand Prix,ALB,11,atypical_speed_profile,unknown_needs_inspection,2,manual_review,True,False,0.0,0.0,0.0,142.31816084881882,146.31816084881882
