event_round,event_name,primary_category,laps,race_laps,pct_of_race_laps
1,Australian Grand Prix,atypical_speed_profile,150,927,16.181229773462782
1,Australian Grand Prix,clean,517,927,55.77130528586839
1,Australian Grand Prix,import_or_source_data_anomaly,11,927,1.186623516720604
1,Australian Grand Prix,pit_lane_or_safety_car_influenced,180,927,19.41747572815534
1,Australian Grand Prix,timing_session_boundary_artifact,69,927,7.443365695792881
2,Chinese Grand Prix,atypical_speed_profile,18,1065,1.6901408450704223
2,Chinese Grand Prix,clean,992,1065,93.1455399061033
2,Chinese Grand Prix,import_or_source_data_anomaly,3,1065,0.28169014084507044
2,Chinese Grand Prix,pit_lane_or_safety_car_influenced,51,1065,4.788732394366197
2,Chinese Grand Prix,position_trace_discontinuity,1,1065,0.09389671361502347
3,Japanese Grand Prix,atypical_speed_profile,21,1059,1.9830028328611897
3,Japanese Grand Prix,clean,988,1059,93.29556185080264
3,Japanese Grand Prix,import_or_source_data_anomaly,8,1059,0.7554296506137866
3,Japanese Grand Prix,pit_lane_or_safety_car_influenced,42,1059,3.9660056657223794
4,Bahrain Grand Prix,atypical_speed_profile,69,1128,6.117021276595745
4,Bahrain Grand Prix,clean,920,1128,81.56028368794325
4,Bahrain Grand Prix,import_or_source_data_anomaly,38,1128,3.368794326241135
4,Bahrain Grand Prix,pit_lane_or_safety_car_influenced,71,1128,6.294326241134751
4,Bahrain Grand Prix,position_trace_discontinuity,17,1128,1.5070921985815602
4,Bahrain Grand Prix,timing_session_boundary_artifact,13,1128,1.152482269503546
5,Saudi Arabian Grand Prix,atypical_speed_profile,16,898,1.7817371937639197
5,Saudi Arabian Grand Prix,clean,719,898,80.06681514476614
5,Saudi Arabian Grand Prix,import_or_source_data_anomaly,12,898,1.3363028953229399
5,Saudi Arabian Grand Prix,pit_lane_or_safety_car_influenced,114,898,12.694877505567929
5,Saudi Arabian Grand Prix,timing_session_boundary_artifact,37,898,4.120267260579064
6,Miami Grand Prix,atypical_speed_profile,101,1005,10.049751243781095
6,Miami Grand Prix,clean,809,1005,80.49751243781095
6,Miami Grand Prix,import_or_source_data_anomaly,6,1005,0.5970149253731344
6,Miami Grand Prix,pit_lane_or_safety_car_influenced,84,1005,8.358208955223882
6,Miami Grand Prix,position_trace_discontinuity,2,1005,0.1990049751243781
6,Miami Grand Prix,timing_session_boundary_artifact,3,1005,0.2985074626865672
7,Emilia Romagna Grand Prix,atypical_speed_profile,167,1207,13.835956917978459
7,Emilia Romagna Grand Prix,clean,935,1207,77.46478873239437
7,Emilia Romagna Grand Prix,import_or_source_data_anomaly,10,1207,0.8285004142502072
7,Emilia Romagna Grand Prix,pit_lane_or_safety_car_influenced,92,1207,7.622203811101906
7,Emilia Romagna Grand Prix,position_trace_discontinuity,1,1207,0.08285004142502071
7,Emilia Romagna Grand Prix,timing_session_boundary_artifact,2,1207,0.16570008285004142
8,Monaco Grand Prix,atypical_speed_profile,87,1425,6.105263157894736
8,Monaco Grand Prix,clean,1159,1425,81.33333333333333
8,Monaco Grand Prix,implausible_channel_values,1,1425,0.07017543859649122
8,Monaco Grand Prix,import_or_source_data_anomaly,12,1425,0.8421052631578947
