event_round,event_name,total_laps,bad_laps,source_anomaly,pit_sc_context,sparse,incomplete,position,shape,timing,bad_pct
12,British Grand Prix,825,601,336,344,0,91,10,145,91,72.84848484848484
13,Belgian Grand Prix,879,396,145,332,0,60,0,168,60,45.051194539249146
1,Australian Grand Prix,927,410,364,235,0,69,7,295,69,44.228694714131606
15,Dutch Grand Prix,1364,432,330,213,0,2,3,316,2,31.671554252199414
21,São Paulo Grand Prix,1251,359,203,233,0,2,4,200,2,28.697042366107112
23,Qatar Grand Prix,1067,272,163,194,0,3,3,142,3,25.49203373945642
22,Las Vegas Grand Prix,886,219,126,124,0,2,1,115,19,24.71783295711061
17,Azerbaijan Grand Prix,968,233,114,152,0,58,3,63,58,24.070247933884296
7,Emilia Romagna Grand Prix,1207,272,254,93,0,2,3,242,2,22.535211267605636
5,Saudi Arabian Grand Prix,898,179,100,117,0,37,1,52,37,19.933184855233854
6,Miami Grand Prix,1005,196,148,85,0,3,5,140,3,19.502487562189057
8,Monaco Grand Prix,1425,266,168,165,0,2,6,148,2,18.666666666666668
9,Spanish Grand Prix,1203,222,222,109,0,1,2,197,1,18.453865336658353
4,Bahrain Grand Prix,1128,208,204,84,0,13,17,154,13,18.439716312056735
19,United States Grand Prix,1067,193,135,100,0,1,3,84,1,18.088097469540767
11,Austrian Grand Prix,1126,196,127,134,0,2,2,116,2,17.406749555950267
10,Canadian Grand Prix,1349,201,161,131,0,3,64,150,3,14.899925871015569
24,Abu Dhabi Grand Prix,1156,112,112,54,0,0,0,51,0,9.688581314878892
20,Mexico City Grand Prix,1263,117,117,57,0,1,1,107,1,9.263657957244655
16,Italian Grand Prix,974,89,79,41,0,0,3,70,0,9.137577002053387
18,Singapore Grand Prix,1229,86,85,48,0,0,2,68,0,6.997558991049633
14,Hungarian Grand Prix,1368,94,93,60,0,0,1,69,0,6.871345029239766
2,Chinese Grand Prix,1065,73,73,52,0,0,1,70,0,6.854460093896714
3,Japanese Grand Prix,1059,71,70,42,0,0,0,62,0,6.704438149197356
