category,event_round,event_name,driver_code,lap_number,primary_category,lap_time_ms,car_samples,position_samples,speed_shape_rms_kmh,position_path_ratio,position_max_segment_units,car_max_gap_ms,car_coverage_ratio
incomplete_lap_window,1,Australian Grand Prix,ALB,2,timing_session_boundary_artifact,,616,634,,0.9999783392312888,594.8386335805703,1359.0,
incomplete_lap_window,1,Australian Grand Prix,ALB,3,timing_session_boundary_artifact,,601,631,,1.0023339444457167,638.4207076842041,1280.0,
incomplete_lap_window,1,Australian Grand Prix,ALB,4,timing_session_boundary_artifact,,568,588,,1.0041277315240136,449.66209535605736,961.0,
incomplete_lap_window,1,Australian Grand Prix,ALO,2,timing_session_boundary_artifact,,618,637,,1.003491556667669,616.6230615213804,1359.0,
incomplete_lap_window,1,Australian Grand Prix,ALO,3,timing_session_boundary_artifact,,600,628,,1.0042002018780327,568.9191506708137,1280.0,
implausible_channel_values,1,Australian Grand Prix,PIA,44,timing_session_boundary_artifact,,719,739,,1.1271874205012697,2859.845100700386,1201.0,
implausible_channel_values,8,Monaco Grand Prix,BOR,1,implausible_channel_values,145564.0,534,546,87.68393318211808,1.0511931383429727,573.2477649324069,1041.0,1.0010785633810557
implausible_channel_values,21,São Paulo Grand Prix,BOR,1,timing_session_boundary_artifact,,295,308,,0.6715374268929781,362.60446770551516,960.0,
implausible_channel_values,23,Qatar Grand Prix,HUL,7,timing_session_boundary_artifact,,563,564,,0.18303859694661712,646.8771135231173,1160.0,
shape_mismatch_against_comparable_laps,16,Italian Grand Prix,ALB,4,shape_mismatch_against_comparable_laps,85427.0,319,320,256.2371641638583,1.000267266413309,1099.0272972042142,1280.0,0.9945216383578962
shape_mismatch_against_comparable_laps,16,Italian Grand Prix,ALB,10,shape_mismatch_against_comparable_laps,84453.0,318,331,256.2371641638583,1.0022599734079898,677.4319153981454,960.0,0.9965424555670017
shape_mismatch_against_comparable_laps,16,Italian Grand Prix,ALB,3,shape_mismatch_against_comparable_laps,85238.0,314,320,256.2371641638583,0.9998666273003117,587.4870211332332,1160.0,0.9981580985006687
shape_mismatch_against_comparable_laps,16,Italian Grand Prix,ALB,2,shape_mismatch_against_comparable_laps,85762.0,315,312,256.2371641638583,0.9989150184197907,1181.325526686019,1201.0,0.9990438655814929
shape_mismatch_against_comparable_laps,16,Italian Grand Prix,ALB,6,shape_mismatch_against_comparable_laps,84743.0,325,330,256.2371641638583,1.0025829857214783,516.0358514677057,640.0,0.9950202376597477
position_trace_discontinuity,1,Australian Grand Prix,HAD,1,timing_session_boundary_artifact,,442,418,,0.0,0.0,1080.0,
position_trace_discontinuity,4,Bahrain Grand Prix,RUS,48,position_trace_discontinuity,96746.0,350,363,74.66658607143691,0.0,0.0,1000.0,0.9935397845905773
position_trace_discontinuity,4,Bahrain Grand Prix,RUS,49,position_trace_discontinuity,97315.0,352,366,74.66658607143691,0.0,0.0,1120.0,0.9963520526126497
position_trace_discontinuity,4,Bahrain Grand Prix,RUS,50,position_trace_discontinuity,96973.0,355,375,74.66658607143691,0.0,0.0,920.0,0.9990409701669537
position_trace_discontinuity,4,Bahrain Grand Prix,RUS,51,position_trace_discontinuity,97377.0,352,370,74.66658607143691,0.0,0.0,1001.0,0.9969499984595952
pit_lane_or_safety_car_influenced,1,Australian Grand Prix,ALB,2,timing_session_boundary_artifact,,616,634,,0.9999783392312888,594.8386335805703,1359.0,
pit_lane_or_safety_car_influenced,1,Australian Grand Prix,ALB,3,timing_session_boundary_artifact,,601,631,,1.0023339444457167,638.4207076842041,1280.0,
pit_lane_or_safety_car_influenced,1,Australian Grand Prix,ALB,4,timing_session_boundary_artifact,,568,588,,1.0041277315240136,449.66209535605736,961.0,
pit_lane_or_safety_car_influenced,1,Australian Grand Prix,ALB,5,pit_lane_or_safety_car_influenced,142084.0,522,538,86.69418560008285,1.0042947461310168,840.3719414640162,1200.0,0.9978252301455477
pit_lane_or_safety_car_influenced,1,Australian Grand Prix,ALB,31,pit_lane_or_safety_car_influenced,90053.0,340,345,6.08566326495212,0.9965968184583935,965.2983994599805,1241.0,0.9967574650483604
timing_session_boundary_artifact,22,Las Vegas Grand Prix,HUL,22,timing_session_boundary_artifact,96180.0,347,359,7.466656124921717,1.0008388060169708,1183.855565514645,2040.0,0.9948014140153878
timing_session_boundary_artifact,22,Las Vegas Grand Prix,HAD,22,timing_session_boundary_artifact,96407.0,350,368,6.708486437165637,1.0020020080936038,1040.0985530227413,2040.0,0.9978528530085989
timing_session_boundary_artifact,22,Las Vegas Grand Prix,SAI,22,timing_session_boundary_artifact,102420.0,373,386,69.9874801540314,1.0054737499804234,938.0767559213905,2040.0,0.9962995508689709
timing_session_boundary_artifact,22,Las Vegas Grand Prix,PIA,22,timing_session_boundary_artifact,111292.0,405,421,104.25682047564857,1.0017656212175645,1371.1852537130057,2040.0,0.9973762714301118
timing_session_boundary_artifact,22,Las Vegas Grand Prix,TSU,22,timing_session_boundary_artifact,98734.0,360,374,16.199825723438366,0.9990417813702367,945.3856356006262,2040.0,0.9970324305710292
import_or_source_data_anomaly,1,Australian Grand Prix,ALB,1,shape_mismatch_against_comparable_laps,132195.0,498,477,86.17045075651102,1.0120680064113543,698.7331393314618,1080.0,1.0009455728280192
import_or_source_data_anomaly,1,Australian Grand Prix,ALB,2,timing_session_boundary_artifact,,616,634,,0.9999783392312888,594.8386335805703,1359.0,
import_or_source_data_anomaly,1,Australian Grand Prix,ALB,3,timing_session_boundary_artifact,,601,631,,1.0023339444457167,638.4207076842041,1280.0,
