event_round,event_name,lap_number,primary_category,drivers,flagged_laps,median_lap_time_ms,median_speed_shape_rms_kmh,median_car_max_gap_ms,pit_sc_context_laps,source_anomaly_laps
1,Australian Grand Prix,1,atypical_speed_profile,15,15,132883.0,86.18808657527629,1080.0,0,15
1,Australian Grand Prix,1,pit_lane_or_safety_car_influenced,2,2,149104.0,105.45027545148965,1080.0,2,2
1,Australian Grand Prix,1,timing_session_boundary_artifact,3,3,,,1080.0,0,3
1,Australian Grand Prix,2,timing_session_boundary_artifact,17,17,,,1359.0,17,17
1,Australian Grand Prix,3,timing_session_boundary_artifact,17,17,,,1280.0,17,17
1,Australian Grand Prix,4,timing_session_boundary_artifact,17,17,,,961.0,17,17
1,Australian Grand Prix,5,pit_lane_or_safety_car_influenced,17,17,141441.0,88.13014055143923,1200.0,17,17
1,Australian Grand Prix,6,atypical_speed_profile,17,17,140418.0,82.82558843399387,1120.0,0,17
1,Australian Grand Prix,7,atypical_speed_profile,17,17,126733.0,73.20867662078383,920.0,0,17
1,Australian Grand Prix,8,clean,17,0,98441.0,20.759321540005057,1121.0,0,0
1,Australian Grand Prix,9,clean,17,0,96253.0,14.820370397403694,800.0,0,0
1,Australian Grand Prix,10,clean,17,0,95107.0,10.850743073071884,921.0,0,0
1,Australian Grand Prix,11,clean,17,0,94655.0,9.421666703806556,1238.0,0,0
1,Australian Grand Prix,12,clean,17,0,94064.0,9.6050654320019,959.0,0,0
1,Australian Grand Prix,13,clean,17,0,93275.0,8.300590583507276,840.0,0,0
1,Australian Grand Prix,14,clean,17,0,92859.0,7.153941334404209,1120.0,0,0
1,Australian Grand Prix,15,clean,17,0,92545.0,7.412512120599047,760.0,0,0
1,Australian Grand Prix,16,atypical_speed_profile,1,1,97326.0,40.28351413741805,1040.0,0,1
1,Australian Grand Prix,16,clean,16,0,92492.5,7.720375479289048,1040.0,0,0
1,Australian Grand Prix,17,clean,17,0,92966.0,7.368805856264581,960.0,0,0
1,Australian Grand Prix,18,clean,17,0,92981.0,7.009799256257359,1081.0,0,0
1,Australian Grand Prix,19,clean,17,0,92684.0,6.317987994048049,1159.0,0,0
1,Australian Grand Prix,20,clean,17,0,92356.0,6.822049873540426,1080.0,0,0
1,Australian Grand Prix,21,clean,17,0,92079.0,6.0022711949990954,1041.0,0,0
1,Australian Grand Prix,22,clean,17,0,92053.0,5.914963521121515,1281.0,0,0
1,Australian Grand Prix,23,clean,17,0,91793.0,5.365539471072969,1039.0,0,0
1,Australian Grand Prix,24,clean,17,0,91852.0,5.181969616294808,520.0,0,0
1,Australian Grand Prix,25,clean,17,0,91380.0,4.733116133837397,1120.0,0,0
1,Australian Grand Prix,26,clean,17,0,91299.0,5.8262290388857725,1039.0,0,0
1,Australian Grand Prix,27,clean,17,0,90755.0,5.85838894763344,1040.0,0,0
1,Australian Grand Prix,28,clean,16,0,90517.0,6.658146917195901,1120.0,0,0
1,Australian Grand Prix,28,import_or_source_data_anomaly,1,1,91084.0,8.011114168116736,1000.0,0,1
1,Australian Grand Prix,29,clean,17,0,90031.0,6.761454489407969,640.0,0,0
1,Australian Grand Prix,30,clean,17,0,89794.0,7.752284337581806,1080.0,0,0
1,Australian Grand Prix,31,clean,3,0,87916.0,12.757299643964357,1000.0,0,0
1,Australian Grand Prix,31,pit_lane_or_safety_car_influenced,14,14,90076.5,7.160182053051152,1241.0,14,0
1,Australian Grand Prix,32,pit_lane_or_safety_car_influenced,17,17,89830.0,8.711662557669229,1000.0,17,1
1,Australian Grand Prix,33,pit_lane_or_safety_car_influenced,16,16,110975.5,82.30324142631662,1080.0,16,13
1,Australian Grand Prix,33,timing_session_boundary_artifact,1,1,,,1080.0,0,1
