cluster,exemplar_type,event_round,event_name,driver_code,lap_number,primary_category,common_primary_category,speed_shape_rms_kmh,speed_shape_excess_kmh,cluster_distance,reason_set
0,common_primary_category_example,20,Mexico City Grand Prix,COL,1,atypical_speed_profile,atypical_speed_profile,98.99521985883352,67.7000902463771,41.513478855553515,atypical_speed_profile + import_or_source_data_anomaly
0,highest_shape_severity,20,Mexico City Grand Prix,COL,1,atypical_speed_profile,atypical_speed_profile,98.99521985883352,67.7000902463771,41.513478855553515,atypical_speed_profile + import_or_source_data_anomaly
0,nearest_centroid,18,Singapore Grand Prix,RUS,1,atypical_speed_profile,atypical_speed_profile,46.89253374759953,15.889140439078332,11.791357458406823,atypical_speed_profile + import_or_source_data_anomaly
1,common_primary_category_example,10,Canadian Grand Prix,STR,51,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,129.92903651887048,97.54232207840784,42.53869624187216,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
1,highest_shape_severity,16,Italian Grand Prix,ALB,1,atypical_speed_profile,pit_lane_or_safety_car_influenced,256.2371641638583,225.0344936524566,99.59964054837828,atypical_speed_profile + import_or_source_data_anomaly
1,nearest_centroid,10,Canadian Grand Prix,ANT,68,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,108.09224795404171,75.70553351357907,11.997862336744786,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
2,common_primary_category_example,12,British Grand Prix,BEA,4,clean,clean,43.879321466011916,0.0,23.897874330276494,clean
2,highest_shape_severity,1,Australian Grand Prix,LEC,44,atypical_speed_profile,clean,71.48183215603527,38.242410378879725,38.35068142514326,atypical_speed_profile + unknown_needs_inspection
2,nearest_centroid,23,Qatar Grand Prix,NOR,5,clean,clean,3.3497629688451616,0.0,2.7644942974920728,clean
3,common_primary_category_example,5,Saudi Arabian Grand Prix,HUL,1,atypical_speed_profile,atypical_speed_profile,113.13534422660358,81.79788083959936,39.419493318343086,atypical_speed_profile + import_or_source_data_anomaly
3,highest_shape_severity,5,Saudi Arabian Grand Prix,TSU,1,pit_lane_or_safety_car_influenced,atypical_speed_profile,140.28094238392947,108.94347899692525,50.85571763690127,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
3,nearest_centroid,7,Emilia Romagna Grand Prix,NOR,30,atypical_speed_profile,atypical_speed_profile,63.14430199017405,31.126900016424955,10.606160836302754,atypical_speed_profile + import_or_source_data_anomaly
4,common_primary_category_example,13,Belgian Grand Prix,ALO,1,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,164.1007179640187,133.40031138668996,57.93593830376304,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
4,highest_shape_severity,16,Italian Grand Prix,ALB,11,atypical_speed_profile,pit_lane_or_safety_car_influenced,173.52083136022057,142.31816084881882,63.13959377931754,atypical_speed_profile + unknown_needs_inspection
4,nearest_centroid,23,Qatar Grand Prix,HAD,33,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,93.62001959061968,62.66002441336807,17.441731873983347,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
5,common_primary_category_example,22,Las Vegas Grand Prix,GAS,2,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,110.85385890503689,79.2298145316137,48.614021495879285,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
5,highest_shape_severity,22,Las Vegas Grand Prix,GAS,2,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,110.85385890503689,79.2298145316137,48.614021495879285,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
5,nearest_centroid,14,Hungarian Grand Prix,BEA,30,pit_lane_or_safety_car_influenced,pit_lane_or_safety_car_influenced,31.02804271490642,0.058309752806309234,13.752773964990498,atypical_speed_profile + pit_lane_or_safety_car_influenced + import_or_source_data_anomaly
6,common_primary_category_example,15,Dutch Grand Prix,HAM,23,timing_session_boundary_artifact,timing_session_boundary_artifact,,0.0,15.744010731150995,incomplete_lap_window + position_trace_discontinuity + timing_session_boundary_artifact + import_or_source_data_anomaly
6,highest_shape_severity,4,Bahrain Grand Prix,RUS,46,position_trace_discontinuity,timing_session_boundary_artifact,74.66658607143691,43.87741580592798,65.85376095866081,atypical_speed_profile + position_trace_discontinuity + import_or_source_data_anomaly
6,nearest_centroid,15,Dutch Grand Prix,HAM,23,timing_session_boundary_artifact,timing_session_boundary_artifact,,0.0,15.744010731150995,incomplete_lap_window + position_trace_discontinuity + timing_session_boundary_artifact + import_or_source_data_anomaly
