k,seed,sampled_laps,silhouette,ari_vs_seed_0
5,0,5000,0.7193508232361605,1.0
5,1,5000,0.7126971700021717,1.0
5,2,5000,0.7225060556676908,1.0
6,0,5000,0.7277239654890872,1.0
6,1,5000,0.7170301697348271,0.999905120922111
6,2,5000,0.7286011793505984,0.9998947437786229
7,0,5000,0.7157546886111241,1.0
7,1,5000,0.7167572609982924,0.9828148596657843
7,2,5000,0.6862256567761813,0.9431064573067438
8,0,5000,0.6839484246426585,1.0
8,1,5000,0.6635256461637887,0.9936984381064692
8,2,5000,0.7157671430033995,0.9449957231353089
9,0,5000,0.713614094257191,1.0
9,1,5000,0.6891320682872678,0.9624324176717606
9,2,5000,0.7162074512282945,0.987649541249194
