driver_code,total_laps,threshold_sensitive_laps,bad_flag_sensitive_laps,recommendation_sensitive_laps,threshold_sensitive_pct
ANT,1312,15,8,14,1.1432926829268293
NOR,1434,14,5,12,0.9762900976290098
PIA,1394,13,5,12,0.9325681492109038
LEC,1359,11,6,10,0.8094186902133923
HAM,1360,11,8,10,0.8088235294117648
TSU,1386,11,5,9,0.7936507936507936
HUL,1287,10,6,8,0.777000777000777
RUS,1442,11,5,11,0.7628294036061026
GAS,1315,10,4,8,0.7604562737642585
HAD,1344,10,5,8,0.744047619047619
VER,1375,10,4,9,0.7272727272727273
COL,1049,7,4,6,0.667302192564347
STR,1317,8,5,7,0.6074411541381929
OCO,1402,7,5,6,0.4992867332382311
BOR,1233,6,2,3,0.48661800486618007
ALB,1307,6,4,6,0.45906656465187456
BEA,1373,6,4,6,0.43699927166788055
ALO,1259,5,4,4,0.3971405877680699
SAI,1248,4,3,4,0.3205128205128205
LAW,1276,4,2,3,0.3134796238244514
DOO,217,0,0,0,0.0
