session_id,year,event_name,category,flag,scope,messages,missing_session_time,lap_scoped,driver_scoped
2024-italian-grand-prix-r,2024,Italian Grand Prix,Other,missing,missing,28,3,28,0
2024-italian-grand-prix-r,2024,Italian Grand Prix,Flag,BLUE,Driver,26,0,26,26
2024-italian-grand-prix-r,2024,Italian Grand Prix,Flag,GREEN,Track,2,1,2,0
2024-italian-grand-prix-r,2024,Italian Grand Prix,Drs,missing,missing,2,1,2,0
2024-italian-grand-prix-r,2024,Italian Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Other,missing,missing,84,4,84,0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Flag,BLUE,Driver,9,0,9,9
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Flag,BLACK AND WHITE,Driver,7,0,7,7
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Drs,missing,missing,2,1,2,0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Flag,DOUBLE YELLOW,Sector,1,1,1,0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Flag,CLEAR,Sector,1,1,1,0
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Other,missing,missing,45,3,45,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,CLEAR,Sector,20,4,20,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,DOUBLE YELLOW,Sector,14,2,14,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,BLUE,Driver,10,0,10,10
2025-australian-grand-prix-r,2025,Australian Grand Prix,SafetyCar,missing,missing,7,0,7,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,YELLOW,Sector,7,2,7,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Drs,missing,missing,4,1,4,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,CLEAR,Track,3,0,3,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-australian-grand-prix-r,2025,Australian Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,Other,missing,missing,46,8,46,0
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,Flag,BLUE,Driver,44,0,44,44
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,Flag,CLEAR,Sector,9,2,9,0
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,Flag,YELLOW,Sector,8,2,8,0
