round,event_name,fastf1_location,circuit_id,circuit_name,repo_location,declared_length_m,fastf1_driver,fastf1_lap,fastf1_points,fastf1_path_length_m,repo_vs_fastf1_direction,repo_vs_fastf1_start_offset_samples,repo_vs_fastf1_sample_count,repo_vs_fastf1_rmse_m,repo_vs_fastf1_p50_m,repo_vs_fastf1_p95_m,repo_vs_fastf1_max_m,repo_vs_fastf1_scale_m_per_fastf1_unit,repo_vs_fastf1_rotation_degrees,averaged_fastf1_laps,repo_vs_fastf1_average_sample_count,repo_vs_fastf1_average_rmse_m,repo_vs_fastf1_average_p50_m,repo_vs_fastf1_average_p95_m,repo_vs_fastf1_average_max_m,averaged_fastf1_polyline_vs_source_source_points,averaged_fastf1_polyline_vs_source_simplified_points,averaged_fastf1_polyline_vs_source_encoded_chars,averaged_fastf1_polyline_vs_source_tolerance_m,averaged_fastf1_polyline_vs_source_rmse_m,averaged_fastf1_polyline_vs_source_p95_m,averaged_fastf1_polyline_vs_source_max_m,averaged_fastf1_polyline_vs_source_source_length_m,averaged_fastf1_polyline_vs_source_simplified_length_m,averaged_fastf1_polyline_vs_source_length_delta_m,averaged_fastf1_polyline_vs_source_length_delta_pct,polyline_vs_source_source_points,polyline_vs_source_simplified_points,polyline_vs_source_encoded_chars,polyline_vs_source_tolerance_m,polyline_vs_source_rmse_m,polyline_vs_source_p95_m,polyline_vs_source_max_m,polyline_vs_source_source_length_m,polyline_vs_source_simplified_length_m,polyline_vs_source_length_delta_m,polyline_vs_source_length_delta_pct,polyline_vs_fastf1_direction,polyline_vs_fastf1_start_offset_samples,polyline_vs_fastf1_sample_count,polyline_vs_fastf1_rmse_m,polyline_vs_fastf1_p50_m,polyline_vs_fastf1_p95_m,polyline_vs_fastf1_max_m,polyline_vs_fastf1_scale_m_per_fastf1_unit,polyline_vs_fastf1_rotation_degrees,averaged_fastf1_encoded_polyline
1,Australian Grand Prix,Melbourne,au-1953,Albert Park Circuit,Melbourne,5278,ALO,10,373,5264.468968571523,forward,0,720,7.826255512275425,5.126286062939087,13.807851462102487,24.09565053156819,0.09967834827890118,-1.5695743168737861,"[{'driver': 'ALO', 'lap': 10, 'path_length_m': 5264.468968571523, 'length_error_m': 8.842116987544614, 'rmse_m': 7.826255512275425, 'p95_m': 13.807851462102487}, {'driver': 'ANT', 'lap': 43, 'path_length_m': 5277.901000502018, 'length_error_m': 4.5899149429506, 'rmse_m': 8.11276689209623, 'p95_m': 16.088002351069044}, {'driver': 'STR', 'lap': 10, 'path_length_m': 5261.796471544436, 'length_error_m': 11.514614014631661, 'rmse_m': 9.160944815105003, 'p95_m': 15.71654013729721}, {'driver': 'STR', 'lap': 42, 'path_length_m': 5258.162442027932, 'length_error_m': 15.148643531135349, 'rmse_m': 9.196247754099229, 'p95_m': 15.544088060373713}, {'driver': 'STR', 'lap': 23, 'path_length_m': 5272.864873478077, 'length_error_m': 0.4462120809903354, 'rmse_m': 9.361635598495461, 'p95_m': 17.396247845614607}]",720,7.375170660731343,5.233318760531384,13.5763898625234,23.71395522897223,721,130,408,1.0,0.3840975652043857,0.7826697285946334,0.9777031838250072,5223.819365122446,5214.2438669410285,-9.57549818141706,-0.18330454236892652,146,108,335,1.0,0.29759143347540673,0.7625736355777203,0.9878318649971746,5273.311085559068,5272.406852023425,-0.904233535642561,-0.01714735810141752,forward,0,720,7.778036014506976,5.060474149133528,13.748961026172033,23.88611065413682,0.09967342497732555,-1.5641006523303795,fp_fF_eysZwIpLo@v@a@VYFYAkAUg@EY@e@FYHULk@d@[`@yAvB}ArByA`BgAfA_CrBoCrBw@f@e@LYAMEQSEOG_@GqBEa@Ok@GKSUWMg@Ge@@oCRaACe@KWK_@[SUWe@g@cA_@_AWy@[kAuAcGy@sCI_@?O@_@H]j@qAPm@Jm@`@qDR}@Vy@`@s@t@w@`@Yl@_@|@[dB[xAMnA@fBL~@RbEzAvBbA|@T`AHtBEr@Gd@KtAa@|@a@l@]`Au@bAkAzAwB`AgBRi@Jo@@_@GeDBq@Jm@d@aAxBmDpAmBv@cAt@o@dAo@fAc@bBi@`FsAjAYfBQXBJDHHJ\\nCn@rGB`AC^K\OXe@j@w@h@iDdB_@XQVEN@^JZPV~@x@NXRh@F^@^C`@Kl@M\OXa@n@}IjLgDpE
2,Chinese Grand Prix,Shanghai,cn-2004,Shanghai International Circuit,Shanghai,5451,GAS,15,371,5381.126722674852,forward,672,720,9.463895686993324,8.785831420028469,15.874704735616447,17.841773439284342,0.0998124728748966,0.8210770376813067,"[{'driver': 'GAS', 'lap': 15, 'path_length_m': 5381.126722674852, 'length_error_m': 66.73880888235362, 'rmse_m': 9.463895686993324, 'p95_m': 15.874704735616447}, {'driver': 'ANT', 'lap': 16, 'path_length_m': 5387.722347200943, 'length_error_m': 60.14318435626319, 'rmse_m': 12.147765551290512, 'p95_m': 23.690830236237705}, {'driver': 'NOR', 'lap': 43, 'path_length_m': 5381.2654541453, 'length_error_m': 66.60007741190566, 'rmse_m': 12.147860715576272, 'p95_m': 24.27129457826503}, {'driver': 'BOR', 'lap': 8, 'path_length_m': 5383.731169809446, 'length_error_m': 64.13436174775961, 'rmse_m': 12.156745419449761, 'p95_m': 20.835622925710783}, {'driver': 'HUL', 'lap': 10, 'path_length_m': 5384.064968254363, 'length_error_m': 63.80056330284333, 'rmse_m': 12.556777000867056, 'p95_m': 25.62938633434583}]",720,11.480026623065232,8.66043110796386,21.648276386676088,24.083403181235855,721,148,409,1.0,0.356895999834154,0.7429555105060074,0.9835839868101576,5356.65106099634,5352.21372762164,-4.437333374699847,-0.08283782766829133,141,117,337,1.0,0.24479477905865552,0.7079689800100858,0.9371011984319156,5447.865531557206,5447.399776696378,-0.46575486082838324,-0.008549309048295341,forward,672,720,9.423890530631839,8.785732157273449,15.927107170428348,17.70286180517806,0.09981303770645153,0.8179563574469324,ong~DiozbVf@fED|@Cl@Il@Qh@c@n@_@Xc@P[@YAYGWMSSGKK[A_@D[PWTMLC`AFXGRSDM@O?MI[QWWMYIYCY?[Do@Vm@`@{@|@oD`Ei@d@w@l@qAp@cBp@_DbAYDM?WMGKG]?MH]Rg@PWf@g@v@k@n@]|CwAbAo@^]Xc@Zu@Lk@H{@C_AE]I]Qg@Yc@i@i@a@UsAo@k@c@QWMYK[Im@?_@B]J]Te@RSTQ|@]VORSFKJ]@]E]M[QUUOYMYGg@?s@Ny@d@{B|AsCjBkGrD]^KZALD\`@p@LX@^?NIZOXSPYLe@Fg@Ee@S_@[OWMYMk@Eo@@m@L{@Vw@`@o@r@q@j^wV~LyI~FkEb@UXEJBHFFL?\I\ELi@v@g@f@u@l@cEjCmA|@SROVELG\?n@Dl@hA~JrDtX
3,Japanese Grand Prix,Suzuka,jp-1962,Suzuka International Racing Course,Suzuka,5807,NOR,7,364,5777.437651454609,forward,692,720,4.837909484295626,4.772899948926535,7.063913408777791,8.9898134393299,0.0999572302610437,-1.0043741953069285,"[{'driver': 'NOR', 'lap': 7, 'path_length_m': 5777.437651454609, 'length_error_m': 34.068631973957054, 'rmse_m': 4.837909484295626, 'p95_m': 7.063913408777791}, {'driver': 'RUS', 'lap': 2, 'path_length_m': 5799.866203983295, 'length_error_m': 11.640079445271112, 'rmse_m': 12.265014380110552, 'p95_m': 16.598428330286737}, {'driver': 'ANT', 'lap': 3, 'path_length_m': 5777.999551576531, 'length_error_m': 33.506731852035045, 'rmse_m': 12.478080105889113, 'p95_m': 16.43170067647563}, {'driver': 'BOR', 'lap': 50, 'path_length_m': 5780.831908874283, 'length_error_m': 30.67437455428353, 'rmse_m': 12.833344516927864, 'p95_m': 20.106305020361244}, {'driver': 'OCO', 'lap': 50, 'path_length_m': 5788.14134453076, 'length_error_m': 23.364938897806496, 'rmse_m': 13.087682537622557, 'p95_m': 22.332095515785923}]",720,5.241823432857157,4.579145641149838,8.452949359332477,9.231997220912806,721,160,476,1.0,0.4195456744552882,0.8270172977558251,0.9971596788454631,5740.156942386811,5735.913434741566,-4.2435076452457,-0.07392668332655743,172,148,451,1.0,0.2309257885726503,0.688114778498816,0.9633750575709628,5811.506283428566,5811.094155300095,-0.41212812847152236,-0.007091588795949517,forward,692,720,4.836674452455521,4.769987221375902,7.04558691964877,8.965161241711382,0.09995671772152484,-1.0040754026753775,_jtsEq_k`YnOmOv@u@d@[XKZGh@@h@Hh@LVPTTL\H^@`@E`@Sl@QXUTaDrBc@\]b@Yh@I`@G\ItAG`@M\QXUVWNoBd@YLWP]d@M\I^OjCKp@Ul@]d@URYLi@Di@KkBs@i@K[BYHc@ZSXWj@a@~AUdBCr@?t@Br@Hp@Np@Rl@Tl@PZf@n@fDdD^b@N\Jp@NjCBr@Cr@K^GLURMD[FuAN}Fz@uAPi@@y@Kg@QmAk@[GM?KBKHGJAN?NDNPVnBpA|AnAj@l@b@t@N\H^LbAFvAChBWtBg@bCa@lA_@x@[f@u@z@o@d@q@^eC`AmAn@a@^Wh@Ip@Er@Dr@Db@H^N\RVVNLBZBh@Gf@Wj@k@x@mAbAqBv@eB`AgCx@mCp@qC`Ha^Ba@?c@Iq@]cBi@{Ag@gA[i@mAgB_CeDQYM_@G_@?QH_@Rk@B_@Ga@q@sAOo@Aa@?c@Ba@Hs@RaATm@`@w@\e@h@o@zJ}J
4,Bahrain Grand Prix,Sakhir,bh-2002,Bahrain International Circuit,Sakhir,5412,HAM,3,374,5352.472859724488,forward,704,720,7.2289587738189205,5.935065440728387,12.215477768375534,16.452073230484388,0.10015615849450768,-0.6090096755372933,"[{'driver': 'HAM', 'lap': 3, 'path_length_m': 5352.472859724488, 'length_error_m': 65.95729863378529, 'rmse_m': 7.2289587738189205, 'p95_m': 12.215477768375534}, {'driver': 'LAW', 'lap': 28, 'path_length_m': 5351.269181431311, 'length_error_m': 67.16097692696258, 'rmse_m': 9.303421054655828, 'p95_m': 16.158981084857732}, {'driver': 'ALO', 'lap': 37, 'path_length_m': 5351.117977931248, 'length_error_m': 67.31218042702585, 'rmse_m': 9.539894275107123, 'p95_m': 17.638540570687653}, {'driver': 'NOR', 'lap': 46, 'path_length_m': 5353.48541048418, 'length_error_m': 64.94474787409399, 'rmse_m': 10.559774158547285, 'p95_m': 17.152178291776625}, {'driver': 'LEC', 'lap': 19, 'path_length_m': 5356.272746913062, 'length_error_m': 62.15741144521144, 'rmse_m': 10.681341802426006, 'p95_m': 17.196646471279305}]",720,11.455904075013784,9.327846444000018,21.150929859740597,24.49050007344229,721,118,327,1.0,0.3856863085202838,0.7647670381058308,0.9972572607368739,5334.089640041206,5330.785300159928,-3.3043398812778833,-0.061947588140876406,94,84,244,1.0,0.1468989707149848,0.4032211368702428,0.6788138107205003,5418.430158358274,5418.3594571139465,-0.07070124432721059,-0.0013048289312754067,forward,704,720,7.253489748285916,5.893398791913613,12.210247113635614,16.395006012073598,0.10014645377118628,-0.6078258537699854,ki{}CoihsHiTe@kGEYCWKIGGKAMHYz@iANg@@]A][qBEk@Ak@FsA`BsO|@_JJi@JYPUHGXEZ@VHVNb@f@tAdCj@v@r@l@~AfA\\Tb@HZBZ?fBDl@Jh@Xr@Z^\ZzBvAj@b@Z^HX?NCLQPYJg@BmAK}Ew@oAQmAIu@@e@JYHWL]ZQTIZ?LBLFJVLXDjCPl[z@r@?f@Cf@ITOPSLYF[@]?]E[I[MY_@m@i@e@m@[cBo@a@Ui@c@Ya@Ue@Su@Ik@?{@Jy@bA_DXs@Xa@TQd@Kf@?VH^XX`@Td@`DvIbKlWRt@Dj@C\EJOVUPWLWHYDg@DcAAsEW{Sc@
5,Saudi Arabian Grand Prix,Jeddah,sa-2021,Jeddah Corniche Circuit,Jeddah,6175,SAI,18,368,6116.4478793476555,forward,716,720,5.439267286813074,4.163969314630165,10.441659711666569,14.82982916433775,0.10028928858212405,-0.0733221672072022,"[{'driver': 'SAI', 'lap': 18, 'path_length_m': 6116.4478793476555, 'length_error_m': 79.85691407533523, 'rmse_m': 5.439267286813074, 'p95_m': 10.441659711666569}, {'driver': 'RUS', 'lap': 6, 'path_length_m': 6116.565288700738, 'length_error_m': 79.7395047222526, 'rmse_m': 6.196923466372561, 'p95_m': 13.146203109350251}, {'driver': 'ANT', 'lap': 15, 'path_length_m': 6124.00926693187, 'length_error_m': 72.29552649112065, 'rmse_m': 6.650576418539677, 'p95_m': 14.907298147980669}, {'driver': 'ALO', 'lap': 4, 'path_length_m': 6118.169423112128, 'length_error_m': 78.13537031086253, 'rmse_m': 7.451415503335971, 'p95_m': 11.70256877405399}, {'driver': 'STR', 'lap': 7, 'path_length_m': 6132.77390806696, 'length_error_m': 63.53088535603092, 'rmse_m': 7.9936091507327935, 'p95_m': 16.392683236759506}]",720,6.2327527953843616,5.374608441025257,10.146776952581808,14.744135260142574,721,161,452,1.0,0.39412411932371183,0.8056814900816478,0.9748001472065799,6116.381078922551,6113.106483999937,-3.2745949226136872,-0.053538111513328615,152,129,394,1.0,0.23448361229130701,0.6002482160211313,0.9898561713293933,6196.304793422991,6196.019168457559,-0.28562496543145244,-0.004609601608601087,forward,716,720,5.439842179119978,4.129748761767765,10.473231900774676,14.829202986596696,0.1002904508343946,-0.07457456454453301,wx_cC}utmFgJlCeHvAy@TYNIJGLANBp@CLELKHMBm@?eCYmAE{@D{Kt@MBKFKHGL[z@]b@WPi@T]F]B]?_@Ck@KcAe@[I]Em@@{@Jy@RMFUTWh@UTYNm@H}@@k@Cm@Gi@SWSSWg@eASYUU[M]GgBWeCg@iAK{AIyBEaCBuFLiBL{@Ng@VKHQXI\APF\FLRXLFZL\F\B\?z@Gj@MvBiAj@QZGl@GjAE|@Bl@FfATlC`Aj@LxAPZJVRFLDNHn@LZVTXNj@L\BzABzAEjAOfAWzCcAxAYhAMfEMz@Ij@KtAc@vBgAh@Ux@WhASxAOzAEjBDvCRX?NCXOJKx@iAVUJIZKl@IzACl@Bj@Jv@VrD~AfA\j@Jj@H|@Bz@?|@Ez@KxAWfB[fAWrAg@t@a@d@[l@i@l@m@rA_Bp@}@dDkFFO@_@I]SW]KMA]BaFp@_MjBaDr@sD`A
6,Miami Grand Prix,Miami Gardens,us-2022,Miami International Autodrome,Miami,5412,STR,18,363,5358.902373971145,forward,704,720,5.49265659980532,4.055995495136358,10.430282221441303,15.915810017325597,0.10015996629759191,-0.26813451548662337,"[{'driver': 'STR', 'lap': 18, 'path_length_m': 5358.902373971145, 'length_error_m': 56.520838760250626, 'rmse_m': 5.49265659980532, 'p95_m': 10.430282221441303}, {'driver': 'GAS', 'lap': 38, 'path_length_m': 5359.059683962209, 'length_error_m': 56.363528769185905, 'rmse_m': 5.966330755126941, 'p95_m': 10.728216250123866}, {'driver': 'ALO', 'lap': 12, 'path_length_m': 5358.287098893718, 'length_error_m': 57.13611383767693, 'rmse_m': 6.127527200105106, 'p95_m': 11.668175481349305}, {'driver': 'STR', 'lap': 17, 'path_length_m': 5365.476219199214, 'length_error_m': 49.946993532181295, 'rmse_m': 6.936922981822559, 'p95_m': 12.874259222123635}, {'driver': 'VER', 'lap': 12, 'path_length_m': 5361.00804295921, 'length_error_m': 54.415169772185436, 'rmse_m': 7.153127207987235, 'p95_m': 12.61044803411174}]",720,6.132921490118461,5.01787091038236,10.797819863520367,17.436108195139507,721,136,380,1.0,0.36960585061348894,0.7312807174979675,0.9633402256490112,5347.528109125221,5344.02302050107,-3.5050886241506305,-0.06554595978970951,103,96,296,1.0,0.14528179644992856,0.11230389649267392,0.8029313563624318,5415.423212731395,5415.3598838531025,-0.06332887829285028,-0.0011694169745398138,forward,704,720,5.487325787058204,4.086038880645059,10.414192643434424,15.881142500349185,0.1001545119144337,-0.2690238233507329,mcm}CzjvhNrAyCdBqEXa@TOJCJ?XJbAdA`@Vd@JnADd@LVLTPX`@^~@RfAFhAEhAKx@Oh@Yr@kDlH]`AUt@Gz@Dx@Jh@j@|AHx@A\EZOf@Wb@_@h@OZOf@El@Bj@Hh@Ph@Tb@\Zb@Td@HZ?JCVKRSFKF[HsDd@{E@wAEsDAmF@{@Dk@PgAj@kCXcBPgAHiADyAAgBGwASgBYcBgAoFo@iCq@{By@eCg@mA_@o@QOUKMCKBUNm@t@SRKFWFM?YGUMIIMYE[CkAC[Qg@]]a@UYGM@IFOTKBg@G}@WMAK?KFGHKZEZEz@UbX[fWKxOUfHDz@BJHJHFL@VIJGPU|@sBHYD]?]Gi@Mi@q@yBKk@Ek@CiABk@Fk@XsATu@xCqG
7,Emilia Romagna Grand Prix,Imola,it-1953,Autodromo Enzo e Dino Ferrari,Imola,4909,ALO,10,313,4878.442294978162,forward,692,720,4.503542865471493,4.065530197523848,7.395395633891372,9.477148366453747,0.09994693082893433,-1.580162506112068,"[{'driver': 'ALO', 'lap': 10, 'path_length_m': 4878.442294978162, 'length_error_m': 19.719130128012694, 'rmse_m': 4.503542865471493, 'p95_m': 7.395395633891372}, {'driver': 'BEA', 'lap': 62, 'path_length_m': 4875.636773043252, 'length_error_m': 22.52465206292254, 'rmse_m': 5.573665862257672, 'p95_m': 8.679624366666147}, {'driver': 'PIA', 'lap': 61, 'path_length_m': 4874.565829015236, 'length_error_m': 23.59559609093867, 'rmse_m': 6.530654537505783, 'p95_m': 9.91473707385048}, {'driver': 'OCO', 'lap': 3, 'path_length_m': 4872.304298428378, 'length_error_m': 25.85712667779626, 'rmse_m': 6.793866303559312, 'p95_m': 10.173981933968713}, {'driver': 'ALO', 'lap': 25, 'path_length_m': 4879.381463472756, 'length_error_m': 18.77996163341868, 'rmse_m': 6.848040616157373, 'p95_m': 10.174624542339897}]",720,7.378261515102926,7.221048793212986,10.55130160455719,12.265942598064386,721,107,321,1.0,0.3930850423653334,0.8213801222995242,0.9984231188706783,4857.0603733315775,4854.128756110704,-2.9316172208737044,-0.060357850130300844,84,75,228,1.0,0.09507487191829395,0.18377777980513602,0.5318049908434104,4898.161425106175,4898.137190778577,-0.024234327597696392,-0.0004947637591827852,forward,692,720,4.502404757428368,4.079192128942587,7.381515061679622,9.46303670495617,0.09994804029420452,-1.5801757979351398,_}smGwlofACrAIrA{@hIMrAIdCAxCDjEZ`JJrA`@`DF^DLPTx@\Z\Tf@fApDVf@Z^j@ZjLrFpDhBn@Hd@CpAUVAVHPRPXxBpEzBxDRTTJV?TONWF_@Ba@?a@o@eMOiECgC?uADsA\_IAs@E_@Qk@[_@uA_Aa@QWG{@IgA@{@LoF~@o@Dc@Ik@[q@m@Yc@I]AO@a@NqABq@DaHEaLIqHDa@DMXc@L[@_@Iq@wBqJW{@_@gAq@_Bo@mAcFsHg@}@Ui@S{@}@_FMm@OYIIIEWEc@Hm@Rk@\SPOXI\EbAB`@D^|AxHx@lERnAJ`ADp@@p@HtR
8,Monaco Grand Prix,Monaco,mc-1929,Circuit de Monaco,Monaco,3337,LAW,52,298,3286.422768262655,forward,532,720,7.190318527135895,6.258814182011825,11.596238186930368,16.28721448519494,0.10006785674318658,1.3859522369982589,"[{'driver': 'LAW', 'lap': 52, 'path_length_m': 3286.422768262655, 'length_error_m': 37.8520331190648, 'rmse_m': 7.190318527135895, 'p95_m': 11.596238186930368}, {'driver': 'SAI', 'lap': 32, 'path_length_m': 3291.254927735198, 'length_error_m': 33.01987364652177, 'rmse_m': 7.731800269820828, 'p95_m': 12.871585117155268}, {'driver': 'COL', 'lap': 6, 'path_length_m': 3295.055746890096, 'length_error_m': 29.219054491623865, 'rmse_m': 8.142710616147212, 'p95_m': 13.448235242395002}, {'driver': 'COL', 'lap': 8, 'path_length_m': 3296.3645924813995, 'length_error_m': 27.910208900320413, 'rmse_m': 8.196247963041886, 'p95_m': 16.109171350168772}, {'driver': 'ANT', 'lap': 7, 'path_length_m': 3294.160925744407, 'length_error_m': 30.113875637312958, 'rmse_m': 8.299473325275038, 'p95_m': 12.131053188149613}]",720,6.035763887250903,4.209469997972082,10.846551852353912,18.360390563696132,721,123,332,1.0,0.4088970175582913,0.8283178392824574,0.9901807043635922,3266.255734259308,3259.533964349459,-6.721769909849172,-0.20579435465954027,160,117,323,1.0,0.29963471046102236,0.7975140965437789,0.9851688687265068,3324.27480138172,3323.4768221510226,-0.797979230697365,-0.02400461088131729,forward,532,720,7.174638058878293,6.23800249068236,11.63341061978571,16.20525566588245,0.10005325100020404,1.3926025054152398,gz}iGqsil@WFO?WIYQuA}AeB_Be@k@QWES@KDSHQdAa@d@WXYJ[?KCIOAULk@t@UFOGKMISUgAEm@@IHQ\Qn@CbDPv@NtAd@zAt@ZVXZ^p@Xx@nArEh@zB\`CPfDF^HNTPJZ?VEj@?`@XjFPtEBVJZJNXZb@Xf@Pv@Hp@@VENG^a@ZUv@Yv@Qv@Kh@ANDXVFBN?^Gt@[n@k@PWNYf@aBRQN?NFDFDRFnA?`@E^CHKL_AZiAbAk@Zu@ZuAd@_B^wCTyA@y@Gw@Ko@Mm@USSI]U_Es@qGWsDOs@_@{AOs@KaAU{CE_@Oi@Yi@SS]OOCW?_@H]R[Ve@j@SN
9,Spanish Grand Prix,Barcelona,es-1991,Circuit de Barcelona-Catalunya,Barcelona,4655,ALO,27,315,4617.05792843554,forward,704,720,5.32377472852023,4.666887717086644,8.940195031982814,10.665028627851726,0.1002872775175759,0.6848310565811925,"[{'driver': 'ALO', 'lap': 27, 'path_length_m': 4617.05792843554, 'length_error_m': 47.25162657846977, 'rmse_m': 5.32377472852023, 'p95_m': 8.940195031982814}, {'driver': 'OCO', 'lap': 17, 'path_length_m': 4618.364397214939, 'length_error_m': 45.94515779907033, 'rmse_m': 5.764832825207742, 'p95_m': 9.31132160980076}, {'driver': 'SAI', 'lap': 2, 'path_length_m': 4628.301313801463, 'length_error_m': 36.008241212546636, 'rmse_m': 6.885946492319183, 'p95_m': 11.375892563627847}, {'driver': 'NOR', 'lap': 27, 'path_length_m': 4618.226498687508, 'length_error_m': 46.08305632650172, 'rmse_m': 7.436278230581997, 'p95_m': 11.88335562285627}, {'driver': 'ALO', 'lap': 2, 'path_length_m': 4633.613439906126, 'length_error_m': 30.696115107883998, 'rmse_m': 8.559443444094919, 'p95_m': 14.180359182537003}]",720,4.254169201474772,3.6260414247468797,7.2965677361604,9.795950540589768,721,128,376,1.0,0.39949416400044824,0.7789736921512008,0.9909202829672051,4614.394968698593,4610.474831990992,-3.9201367076011593,-0.08495451157070681,150,111,315,1.0,0.31006041484270747,0.8028961753533503,0.9914923622640244,4664.30955501401,4663.335715587726,-0.9738394262840302,-0.020878533356285894,forward,704,720,5.29098738443691,4.643497277768241,8.894124677783926,10.630363442415518,0.1002789009663757,0.6831798861219864,wcv|FwsxLpHzFlKzInGlEl@l@^j@Pd@Dl@C\_@rBA^@\Rv@x@rBTr@Px@D|@C|@Mx@Ut@a@j@[X_@Pa@Ja@Fa@?eAGm@Im@S_Ae@iB}AsCwBaA_AW_@MYG[Cm@Dk@Pg@X]\W^M`@CV?`@Hh@Vd@`@jD~C\V\P`@HTEROLUBO@]A]G[_AeDi@}BWu@a@}@a@k@k@o@mAcASO_@O]A_@BULOPs@rAc@d@cFtCu@Za@Hy@Ak@MUIg@_@GISe@{CoLyC{JcAeEKYMUIIUIU@UHSNOTKXEZCl@?^Jz@Nf@p@fBJj@Fj@Al@G\MV]Va@Da@Ei@YY]wB{D[q@KYG]G{@FkATgA`@oA|AcEf@w@ZWj@S`@Eb@@TF^N^T~NlL
10,Canadian Grand Prix,Montréal,ca-1978,Circuit Gilles-Villeneuve,Montreal,4361,COL,38,298,4340.672391109539,forward,36,720,5.009037246052343,3.6452527504353065,8.702454362002706,14.372382133463207,0.10043862468908314,-0.9510676221901242,"[{'driver': 'COL', 'lap': 38, 'path_length_m': 4340.672391109539, 'length_error_m': 24.366232564567326, 'rmse_m': 5.009037246052343, 'p95_m': 8.702454362002706}, {'driver': 'ANT', 'lap': 4, 'path_length_m': 4358.317182701378, 'length_error_m': 6.721440972727578, 'rmse_m': 8.029347528738043, 'p95_m': 18.158136736729272}, {'driver': 'HAM', 'lap': 4, 'path_length_m': 4344.42484254592, 'length_error_m': 20.61378112818602, 'rmse_m': 10.441843070413748, 'p95_m': 29.166149147227383}, {'driver': 'COL', 'lap': 46, 'path_length_m': 4355.546027133361, 'length_error_m': 9.492596540744671, 'rmse_m': 10.612323463994917, 'p95_m': 15.69327502902648}, {'driver': 'LEC', 'lap': 4, 'path_length_m': 4364.550208613169, 'length_error_m': 0.48841506093685894, 'rmse_m': 11.498111754854847, 'p95_m': 33.26977327001518}]",720,14.617622563881381,14.179551840540856,22.255812574376183,24.455068263967988,721,107,303,1.0,0.40441995709292505,0.7736337273749342,0.9535621316812496,4316.774731504368,4314.288878022996,-2.4858534813720325,-0.057585897712705725,102,84,242,1.0,0.27544942457144705,0.8623673429510881,0.9486890070794727,4365.038623674106,4364.645941148369,-0.39268252573674545,-0.008996083645331408,forward,36,720,5.020223653013433,3.7138313836978663,8.661035975635853,14.438865189112773,0.10043296396260386,-0.9481560614968757,{`vtG~~v_MhGyApAWG@j@Et@Ev@@lE^T?\ETGXYn@qANMFCR?PLFHLd@@\CjAI|@WdBYdAa@lAo@tAkAbCe@t@[VSHSBaA?SD]Pk@j@kAvA_@j@_AhBW^YZg@Xg@Pk@H_A@mCGk@FQJWXIXCZAbAC\GZKVOTYZ]Pi@NaALaBJmENmCEmCS_Ca@sD_Ai@QQMOSKWM{@IYSc@Y[]Ug@UkD}@iEq@kAIkAEwAAu@Du@JuCj@u@JS?KEGGIY@OHWZUj@M`BKr@SdNsGpBu@rBi@j_@}H^ET@RFd@\RH`@D^A~@OfG}A
